,insA_2
Cr_1,0.0023890717146600013
Cr_2,0.009214396651662151
Cr_3,0.008035232188018009
Cr_4,-0.0011912026084710074
Cr_5,-0.0023816397918440192
Cr_6,-0.0021891881806284526
Fe_1,-0.052180812817103336
Fe_2,-0.09493433599160864
Fe_3,-0.10709376766988853
Fe_4,-0.12081971442760735
Fe_5,-0.1262919184723414
Fe_6,-0.13496684398445494
Cd_1,0.0006684525341478943
Cd_2,0.001044286096718928
Cd_3,0.004010646527896615
Cd_4,0.007823972122344472
Cd_5,0.010429574933523636
Cd_6,0.016760800847981
Zn_1,-0.004226916920695496
Zn_2,-0.01740258172739941
Zn_3,-0.021007568448437645
Zn_4,-0.01869089288661973
Zn_5,-0.00723190883033835
Zn_6,-0.012863303512863451
Cu_1,0.004317946955654111
Cu_2,0.005152501249799602
Cu_3,0.011543480429058315
Cu_4,0.012281890780244298
Cu_5,0.01243935957544447
Cu_6,0.02212295247860394
Pb_1,-0.008069989076416258
Pb_2,-0.014974436509213224
Pb_3,-0.011529249499152351
Pb_4,-0.013048211001244757
Pb_5,-0.008300484933355352
Pb_6,0.0021897625405916336
