,rpsO
Cr_1,0.0010620765463855103
Cr_2,0.0017232766908799788
Cr_3,0.01155863173925272
Cr_4,0.013383020847652196
Cr_5,0.01573390639623188
Cr_6,0.02966645414437972
Fe_1,0.004488800874321455
Fe_2,0.015343306665815857
Fe_3,0.038921720955478314
Fe_4,0.0564743774782249
Fe_5,0.07605547473444918
Fe_6,0.09547031978847714
Cd_1,0.0003482916259854052
Cd_2,0.0014017745223893175
Cd_3,0.004447425738067475
Cd_4,0.007699536716067164
Cd_5,0.010884501664202548
Cd_6,0.013949978113595352
Zn_1,0.0016836690317056733
Zn_2,0.0009033936233069504
Zn_3,-0.002017028341066109
Zn_4,-0.0028091982163414853
Zn_5,-0.0033602639990405435
Zn_6,-0.003230919171157001
Cu_1,0.007356949505824822
Cu_2,0.0194090669764953
Cu_3,0.031483003616949334
Cu_4,0.03246397638505195
Cu_5,0.0362254320616968
Cu_6,0.04710794779962597
Pb_1,-0.0033769484527504828
Pb_2,0.0011107454716796149
Pb_3,0.003644757795236925
Pb_4,0.00866177287112867
Pb_5,0.01450683700214289
Pb_6,0.02152623135705294
