,nagE
Cr_1,0.003626988133716222
Cr_2,0.005157842888726523
Cr_3,0.008531164947367269
Cr_4,0.009681415985380542
Cr_5,0.0071736269817609735
Cr_6,0.002767638605551269
Fe_1,0.000761251746300954
Fe_2,-0.009822325896358591
Fe_3,-0.01074570435315112
Fe_4,-0.023986679639084376
Fe_5,-0.02495290291280535
Fe_6,-0.026889452326068226
Cd_1,-0.00031427532780802344
Cd_2,0.0025520976595208807
Cd_3,0.007715049060666233
Cd_4,0.012830427498242014
Cd_5,0.015522087711911171
Cd_6,0.01707961767854527
Zn_1,-0.009032850259931986
Zn_2,-0.010238707534992154
Zn_3,0.0013215314141815301
Zn_4,0.011038570483995506
Zn_5,0.016061362187935718
Zn_6,0.017433832319452374
Cu_1,-0.0013468245305167856
Cu_2,0.006920128564436517
Cu_3,0.012837824767518524
Cu_4,0.014160498393976075
Cu_5,0.013686216560789378
Cu_6,0.015299451410891497
Pb_1,0.016198070601232836
Pb_2,0.027580429422190703
Pb_3,0.028377403005486995
Pb_4,0.032736909684729136
Pb_5,0.035840143861267965
Pb_6,0.03072151893086436
