,ybgA
Cr_1,-0.0022255618793605592
Cr_2,0.0018452580248489176
Cr_3,0.0116150433106902
Cr_4,0.02157132601695795
Cr_5,0.031915097775653364
Cr_6,0.044016014556206906
Fe_1,-0.009528979091937702
Fe_2,-0.034622997882601834
Fe_3,-0.07062650979245069
Fe_4,-0.1186018263838376
Fe_5,-0.15525738220476987
Fe_6,-0.17909975288432906
Cd_1,0.00021815200936834144
Cd_2,0.001667331405832283
Cd_3,0.00566131755153462
Cd_4,0.00785055986462135
Cd_5,0.005908931448746651
Cd_6,0.010589406348274849
Zn_1,-0.004733472382022989
Zn_2,-0.005941902553749673
Zn_3,0.003390573141779122
Zn_4,0.01683109525139789
Zn_5,0.03199195089230406
Zn_6,0.04031999686382223
Cu_1,0.005929943421195586
Cu_2,0.012837872853902487
Cu_3,0.017867896657097825
Cu_4,0.022699537979540937
Cu_5,0.02648734377582925
Cu_6,0.03283398972340607
Pb_1,0.005147287027524087
Pb_2,0.014030112895126444
Pb_3,0.02757323420623235
Pb_4,0.04440358865000958
Pb_5,0.06321046274087183
Pb_6,0.07919758612914057
