,pmrD
Cr_1,0.004145070336599824
Cr_2,0.009742961188442813
Cr_3,0.018479861463853844
Cr_4,0.02917750591904065
Cr_5,0.031450881493824995
Cr_6,0.02932245937463512
Fe_1,-0.03998870661341696
Fe_2,-0.092656062466256
Fe_3,-0.1380762119899075
Fe_4,-0.1422955538129406
Fe_5,-0.12700317579046258
Fe_6,-0.08714426941964629
Cd_1,0.0005616162584574309
Cd_2,0.0027104848176707826
Cd_3,0.006926704596742135
Cd_4,0.0023435536418537108
Cd_5,-0.011687422263089824
Cd_6,-0.016687152875034868
Zn_1,-0.058113742499921614
Zn_2,-0.060113961454058326
Zn_3,-0.05380882891796257
Zn_4,-0.05331789121489588
Zn_5,-0.04980619584428419
Zn_6,-0.058007898460739074
Cu_1,0.011952881510162109
Cu_2,0.022181622965080455
Cu_3,0.0251698869340582
Cu_4,0.02771467492544847
Cu_5,0.032020519344284265
Cu_6,0.03978871455372773
Pb_1,0.0006418920580378589
Pb_2,0.0025819623640996898
Pb_3,0.015075557255165087
Pb_4,0.021837954178981482
Pb_5,0.020272203789153686
Pb_6,0.023668277116152957
