,yjdB
Cr_1,0.0013777293069419
Cr_2,0.015196532600920241
Cr_3,0.03602640138893432
Cr_4,0.06719854317807526
Cr_5,0.10651991447320497
Cr_6,0.16698522511742955
Fe_1,-0.013643027509969808
Fe_2,-0.02526030300547076
Fe_3,-0.026421991307643743
Fe_4,-0.032484377689883825
Fe_5,-0.040046513624106
Fe_6,-0.04487425058375722
Cd_1,0.005347422846369479
Cd_2,0.007166892588210402
Cd_3,0.011220091964940093
Cd_4,0.012347054476578523
Cd_5,0.008796427501813803
Cd_6,0.013100273124257114
Zn_1,-0.005689116909136023
Zn_2,-0.015488297519683794
Zn_3,-0.013687406678681156
Zn_4,-0.005838558341468477
Zn_5,-0.0004301386600147085
Zn_6,0.0017964693301917914
Cu_1,0.005978758638435837
Cu_2,0.010468003595568714
Cu_3,0.013772088773812623
Cu_4,0.0200980486897998
Cu_5,0.028071964859060574
Cu_6,0.03623146851464843
Pb_1,0.001986699130954634
Pb_2,0.0013501782694147874
Pb_3,-0.005740962509787165
Pb_4,-0.005018968761008849
Pb_5,0.002646795396331435
Pb_6,0.015033668891354825
