,guaC
Cr_1,-0.0016005731263256302
Cr_2,-0.0004154136228452103
Cr_3,0.002336473069086367
Cr_4,0.0030636050936900523
Cr_5,0.0022291988267411733
Cr_6,0.0005709782085728447
Fe_1,-0.0023821875812968835
Fe_2,-0.0023423809420357825
Fe_3,-0.0022626578774038297
Fe_4,-0.003756320586675151
Fe_5,0.00023968196329542734
Fe_6,0.012510669603692737
Cd_1,0.005342134204419109
Cd_2,0.0103842012058659
Cd_3,0.015358933766641412
Cd_4,0.02056308782234572
Cd_5,0.020825399304657637
Cd_6,0.02689146468895286
Zn_1,-0.002217042697274327
Zn_2,-0.004059354874137362
Zn_3,0.003025544421683371
Zn_4,0.0113372665411202
Zn_5,0.01171872278098863
Zn_6,0.004248668154485866
Cu_1,0.00027773521292264825
Cu_2,-0.0006987289133864338
Cu_3,0.002760693677769557
Cu_4,0.008043087645119101
Cu_5,0.015268112905304991
Cu_6,0.0210496574101956
Pb_1,0.005253166044042117
Pb_2,0.011969372906759418
Pb_3,0.01861107915071577
Pb_4,0.022000720722392827
Pb_5,0.026340818384101638
Pb_6,0.029957026905748817
