,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
0,control__wt_glc,5.000513891850744e-14,0.07224374907412054,2.0,0.0,0.0510840448687,1.0,-0.05108404486859999,,,,,,,,
1,fur__wt_dpd,4.165853928005001,0.10274467139614811,2.0,2.0,4.2385053818800005,3.0,4.093202474130001,,,,,,,,
2,fur__wt_fe,5.299050534825,0.040737779005120496,2.0,4.0,5.32785649461,5.0,5.27024457504,,,,,,,,
3,fur__delfur_dpd,-0.873870144939,0.6528952911416133,2.0,6.0,-1.33553683271,7.0,-0.41220345716799994,,,,,,,,
4,fur__delfur_fe2,0.2781639902525,0.07046363397744758,2.0,8.0,0.327989303665,9.0,0.22833867684,,,,,,,,
5,acid__wt_ph5,4.370319143365,0.3781730675192781,2.0,10.0,4.10291040286,11.0,4.637727883869999,,,,,,,,
6,acid__delgadx_ph5,2.2618861629450002,0.34185583583199664,2.0,12.0,2.50361474265,13.0,2.02015758324,,,,,,,,
7,acid__delgadw_ph5,3.2338831997949997,0.1684042039381667,2.0,14.0,3.3529629543799997,15.0,3.1148034452099997,,,,,,,,
8,acid__delgade_ph5,3.18973426076,0.30850103420582214,2.0,16.0,2.97159108747,17.0,3.4078774340499995,,,,,,,,
9,oxidative__wt_pq,5.03531866467,0.008424345966537593,2.0,18.0,5.02936175251,19.0,5.04127557683,,,,,,,,
10,oxidative__deloxyr_pq,8.893583653205,0.42216733969667,2.0,20.0,9.1921010419,21.0,8.59506626451,,,,,,,,
11,oxidative__delsoxr_pq,3.355697818505,0.008956615455409177,2.0,22.0,3.34936453498,23.0,3.36203110203,,,,,,,,
12,oxidative__delsoxs_pq,2.440674534575,0.3947376236537077,2.0,24.0,2.71979618505,25.0,2.1615528841,,,,,,,,
13,nac_ntrc__wt_csn,4.4968435721199995,0.37514568378890595,2.0,26.0,4.23157551518,27.0,4.76211162906,,,,,,,,
14,nac_ntrc__wt_cytd,-0.9886803548099999,0.7310622449731847,2.0,28.0,-0.47174128392,29.0,-1.5056194257,,,,,,,,
15,nac_ntrc__wt_gln,-0.17707597258755,0.14484590802902986,2.0,30.0,-0.0746544487931,31.0,-0.279497496382,,,,,,,,
16,nac_ntrc__bw_delnac_csn,7.837094923215,0.0013426306326845706,2.0,32.0,7.83804430644,33.0,7.8361455399899995,,,,,,,,
17,nac_ntrc__bw_delnac_cytd,8.53984549117,0.24907117781343527,2.0,34.0,8.36372557234,35.0,8.71596541,,,,,,,,
18,nac_ntrc__bw_delnac_gln,8.363589359835,0.12429653515345515,2.0,36.0,8.27569843695,37.0,8.45148028272,,,,,,,,
19,nac_ntrc__bw_delnac_nh4,9.023228019874999,0.19276631599582866,2.0,38.0,9.1595343891,39.0,8.88692165065,,,,,,,,
20,misc__wt_no_te,4.91164033978,0.2861625436549405,2.0,40.0,5.11398781492,41.0,4.70929286464,,,,,,,,
21,misc__bw_delcbl,8.713319122369999,0.03811576842011587,2.0,42.0,8.740271040689999,43.0,8.686367204049999,,,,,,,,
22,misc__bw_delfabr,9.410265562945,0.3893855502601386,2.0,44.0,9.68560272603,45.0,9.134928399860001,,,,,,,,
23,misc__bw_delfadr,8.05509104105,0.13806362239403447,2.0,46.0,8.152716764680001,47.0,7.95746531742,,,,,,,,
24,misc__nitr_031,4.554702987290001,,1.0,48.0,4.554702987290001,,,,,,,,,,
25,omics__wt_glu,0.18777561299599999,0.055456548284260776,2.0,49.0,0.226989314349,50.0,0.148561911643,,,,,,,,
26,omics__wt_gly,-0.925987049599,0.3557830692824733,2.0,51.0,-1.17756367052,52.0,-0.6744104286779999,,,,,,,,
27,omics__wt_thr,1.3042607404400002,0.1701350224192825,2.0,53.0,1.42456436851,54.0,1.1839571123700001,,,,,,,,
28,omics__bw_ac,1.5233301853749999,0.6319314617308339,2.0,55.0,1.9701732072099998,56.0,1.07648716354,,,,,,,,
29,omics__bw_fum,-0.6096595778035,0.6956875265869091,2.0,57.0,-0.11773421016699999,58.0,-1.10158494544,,,,,,,,
30,omics__bw_glc,-1.6287617222399997,0.019676715780681066,2.0,59.0,-1.6426752613999998,60.0,-1.6148481830799999,,,,,,,,
31,omics__bw_pyr,-0.7867497691545,0.11634872501922074,2.0,61.0,-0.8690207415979999,62.0,-0.7044787967110001,,,,,,,,
32,ompr__wt_nacl,3.59024438455,0.08169952629086577,2.0,63.0,3.5324740954900005,64.0,3.64801467361,,,,,,,,
33,ompr__bw_delompr_nacl,-1.5649234811000001,0.22451439256968075,2.0,65.0,-1.7236791305599999,66.0,-1.4061678316400001,,,,,,,,
34,minspan__wt_ade,-1.48150880958,,1.0,67.0,-1.48150880958,,,,,,,,,,
35,minspan__wt_glc,-1.947527220795,0.4299873612761089,4.0,68.0,-2.18356485467,69.0,-1.70107364315,70.0,-2.42079502651,71.0,-1.48467535885,,,,
36,minspan__wt_glc_anaero,2.84714872538,0.10044483462712293,2.0,72.0,2.77612350168,73.0,2.91817394908,,,,,,,,
37,minspan__wt_trp,-2.71705542082,,1.0,74.0,-2.71705542082,,,,,,,,,,
38,minspan__bw_delcra_glc,4.4648791372800005,0.11170354376669742,2.0,75.0,4.385892804,76.0,4.54386547056,,,,,,,,
39,minspan__bw_delcra_trp,3.52115233561,,1.0,77.0,3.52115233561,,,,,,,,,,
40,minspan__bw_delmntr,-3.6951220602999997,,1.0,78.0,-3.6951220602999997,,,,,,,,,,
41,minspan__bw_delnac_ade,-2.12215117681,,1.0,79.0,-2.12215117681,,,,,,,,,,
42,minspan__bw_delnac_glc,-1.50293568845,,1.0,80.0,-1.50293568845,,,,,,,,,,
43,cra_crp__wt_ac,2.234053528075,0.29143775798500415,2.0,81.0,2.0279759131099997,82.0,2.4401311430400003,,,,,,,,
44,cra_crp__wt_fru,0.56398039715,0.3340135470440222,2.0,83.0,0.800163641273,84.0,0.327797153027,,,,,,,,
45,cra_crp__delcra_ac,8.84702751994,0.29400787007182355,2.0,85.0,9.054922478589999,86.0,8.63913256129,,,,,,,,
46,cra_crp__delcra_fru,8.26716607221,0.11543232009886022,2.0,87.0,8.34878904852,88.0,8.1855430959,,,,,,,,
47,cra_crp__delcra_glc,7.822085485065,0.01918524242156987,2.0,89.0,7.80851947005,90.0,7.83565150008,,,,,,,,
48,rpoB__wt_031,5.0183834202,,1.0,91.0,5.0183834202,,,,,,,,,,
49,rpoB__wt_044,2.6778228287599997,,1.0,92.0,2.6778228287599997,,,,,,,,,,
50,rpoB__wt_lb,8.87407498446,0.14369175433377057,2.0,93.0,8.77246957057,94.0,8.97568039835,,,,,,,,
51,rpoB__rpoBE546V_031,2.51556821991,,1.0,95.0,2.51556821991,,,,,,,,,,
52,rpoB__rpoBE546V_044,1.9384568098700001,,1.0,96.0,1.9384568098700001,,,,,,,,,,
53,rpoB__rpoBE546V_lb,6.133742626455,0.4806469634680774,2.0,97.0,5.793873899229999,98.0,6.47361135368,,,,,,,,
54,rpoB__rpoBE546V_glc,1.8165104649900001,,1.0,99.0,1.8165104649900001,,,,,,,,,,
55,rpoB__rpoBE672K_glc,-0.06672882950095,0.07345224275164695,2.0,100.0,-0.014790250557899998,101.0,-0.11866740844399999,,,,,,,,
56,rpoB__rpoBE672K_lb,1.1589059235655,0.29311908346671534,2.0,102.0,1.36617241518,103.0,0.951639431951,,,,,,,,
57,crp__wt_fru,0.5025607134000001,,1.0,104.0,0.5025607134000001,,,,,,,,,,
58,crp__wt_glyc,2.800260021635,0.09397155278796525,2.0,105.0,2.86670794385,106.0,2.73381209942,,,,,,,,
59,crp__delar1_glyc,1.6841082492550001,0.31520567685830064,2.0,107.0,1.4612241776800001,108.0,1.9069923208300001,,,,,,,,
60,crp__delar1ar2_glyc,1.12706439992,0.09137781530253981,3.0,109.0,1.1668288411799999,110.0,1.0225417809100001,111.0,1.19182257767,,,,,,
61,crp__delar2_glyc,2.966194499206667,0.5748674862590035,3.0,112.0,2.32845818844,113.0,3.4445679059300005,114.0,3.1255574032499998,,,,,,
62,crp__delcrp_fru,2.4975885504833335,0.33125350017580024,3.0,115.0,2.2365783388900002,116.0,2.8702385167699997,117.0,2.38594879579,,,,,,
