gene_id,USA300HOU_RS02075
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,<i> Not Available </i>
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN002055000"">AureoWiki</a>"
