,A,DegU
R2,,0.13713007852975867
xmin,,-5.488366666666666
xmid,,-1.2033670750569618
xmax,,1.154933333333334
ystart,,-13.435065449773818
yend,,-1.4239839987771594
LBexp_1,-16.7163305875,0.04873333333333463
LBexp_2,-17.4845699105,0.0015333333333344967
LBexp_3,-17.5682805029,-0.1881666666666657
LBtran_1,-21.0623515081,0.463633333333334
LBtran_2,-19.44165613,0.2062333333333335
LBtran_3,-18.906106463,0.15123333333333377
LBstat_1,-8.6852164299,0.12593333333333412
LBstat_2,-8.2846577177,-0.07226666666666581
LBstat_3,-9.6943235786,-0.2830666666666666
LBGexp_1,-15.9558303464,0.16093333333333426
LBGexp_2,-12.5924098508,0.13473333333333493
LBGexp_3,-14.9690773392,0.20633333333333503
LBGtran_2,-14.5132938222,-0.20956666666666557
LBGtran_3,-14.0492381709,0.34073333333333444
LBGstat_1,-11.9994906594,-1.3019666666666652
LBGstat_2,-11.8861691805,-1.6683666666666657
LBGstat_3,-12.2720437306,-0.742166666666666
S0_1,-2.5221381382,-0.5252666666666652
S0_2,0.7837065233,-0.36616666666666653
S0_3,-2.4552989764,-0.5389666666666653
S1_1,-4.1171857864,0.3746333333333336
S1_2,-3.1821879060000002,0.3699333333333339
S1_3,-4.4567364035,0.46493333333333453
S2_1,5.6676218678,0.5623333333333349
S2_2,6.5498673988,0.6518333333333342
S2_3,4.9378837378,0.38963333333333416
S3_1,-1.2614871409,-0.10656666666666581
S3_2,-0.7015250002,-0.3159666666666663
S4_1,-4.3930018676,-0.4716666666666658
S4_2,-5.8153563414,-0.9685666666666659
S4_3,-3.4660581055,-1.2231666666666658
S5_1,-6.8001728271,-1.0669666666666657
S5_2,-7.4506520058,-0.7956666666666656
S5_3,-5.6139795214,-0.8421666666666656
S6_1,-16.6527491935,-2.186866666666665
S6_2,-16.7707773257,-5.1882666666666655
S6_3,-12.0579957765,-2.032966666666665
S6/t_1,-16.9533426169,-2.3761666666666663
S6/t_2,-16.9492338032,-5.488366666666666
S6_4,-11.0287090409,-2.6855666666666664
S6_5,-11.0652375579,-2.2648666666666664
S6_6,-11.0012831622,-2.124466666666665
S7_4,-12.3275339122,-2.1935666666666656
S7_5,-13.4191632423,-2.386266666666666
S7_6,-12.5703846839,-2.428066666666666
S8_4,-14.9851198592,-2.8569666666666667
S8_5,-16.1929915985,-3.8455666666666666
G135_1,-9.6623983435,-0.12036666666666562
G135_3,-12.9000031021,-1.9144666666666659
G150_1,-7.7381549104000005,-0.3591666666666651
G150_2,-5.905025857,0.08043333333333358
G150_3,-6.9466295029000005,0.09213333333333473
G180_1,-8.803336047,-0.10776666666666657
G180_2,-9.0069080084,0.35323333333333373
G180_3,-10.5833642289,-0.9550666666666654
C30_1,-11.5277809125,-1.2709666666666664
C30_2,-12.4507869561,-1.0467666666666666
C90_1,-20.3590868167,-0.11706666666666621
C90_2,-20.103867307,0.16843333333333455
BI_1,1.1526156497,0.986833333333335
BI_2,1.8072688483000001,1.0012333333333334
BC_2,-8.5301239032,1.154933333333334
BC/t_1,-11.2073282865,0.7582333333333349
BC/t_2,-11.2732336364,1.0872333333333337
BC_1,-8.6656397737,0.8004333333333342
Sw_1,-10.2942713484,-0.3717666666666659
Sw_2,-8.6701582971,0.08003333333333451
BT_1,-6.5927023717,0.07423333333333382
BT_2,-6.1624204058,-0.2318666666666651
B36_1,-19.3723532954,-0.8432666666666666
B36_2,-17.8296118346,-0.8522666666666652
B60_1,-22.5797759129,-0.7569666666666652
B60_2,-22.9665520048,-0.5623666666666658
M9exp_1,-0.37647363440000003,0.2987333333333346
M9exp_2,-0.4660812406,-0.03926666666666634
M9exp_3,0.842554875,-0.2594666666666665
M9tran_1,5.4086389983,0.22993333333333332
M9tran_2,4.2413826864,0.22043333333333415
M9tran_3,3.3961908914,0.4539333333333335
M9stat_1,-12.494549283,-1.7850666666666655
M9stat_2,-12.1616928945,-1.4909666666666652
M9stat_3,-13.2898184278,-1.6568666666666658
M+G_1,-3.1270129968,-0.16646666666666654
M+G_2,-4.8757117806,-0.3092666666666659
M+G_3,-6.2384051628,-0.18326666666666647
Glu_1,-6.370187112,0.19773333333333376
Glu_2,-8.5906443693,0.009233333333334315
Glu_3,-5.9266017371,0.10713333333333352
Fru_1,-6.5891750513,-0.10766666666666502
Fru_2,-7.9740302084,0.2180333333333344
Fru_3,-7.1332216895,-0.4414666666666651
Mal_1,-2.2937355478,-0.5720666666666663
Mal_2,-4.9170657902,-0.4901666666666653
Mal_3,-3.4866499745,-0.037666666666666515
G+S_2,-4.9262467275,-0.6715666666666653
G+S_3,-5.6387205677,-0.2896666666666654
Pyr_1,-10.0102453454,-0.9618666666666655
Pyr_2,-8.7462854091,-0.5205666666666655
Pyr_3,-8.6479120618,-0.8562666666666665
Gly_1,-10.6238345279,-1.606466666666666
Gly_2,-10.6161272553,-0.6377666666666659
Gly_3,-12.6929802585,-2.2228666666666665
Glucon_1,-13.9209030578,-0.9354666666666667
Glucon_2,-14.1689921916,-0.4038666666666657
Glucon_3,-8.6108687676,-1.5341666666666658
aero_1,-12.6302148331,0.23613333333333486
aero_2,-10.1353164607,-0.5140666666666664
aero_3,-10.3566078306,0.22963333333333402
nit_1,-3.1003093766,-0.18896666666666562
nit_2,1.6597231526,0.4381333333333348
nit_3,0.3224376953,0.0017333333333340306
ferm_1,3.3358202035,-0.08826666666666583
ferm_2,2.6108233072,-0.12146666666666661
ferm_3,0.1422282494,0.3375333333333348
T-5.40H_1,5.5821401475,0.7594333333333338
T-4.40H_1,4.8750269909,0.5344333333333342
T-3.40H_1,6.7640499861,0.5342333333333347
T-2.40H_1,6.6546126117,0.4401333333333337
T-1.40H_1,6.2445885337,0.4876333333333349
T-1.10H_1,5.1799267108,0.3375333333333348
T-0.40H_1,2.1790142339,0.38193333333333435
T0.0H_1,0.0281015932,0.2814333333333341
T0.30H_1,-3.5146745443,0.20243333333333347
T1.0H_1,-1.4817798259,-0.3591666666666651
T1.30H_1,-3.6468730701,-0.6880666666666659
T2.0H_1,-4.1359099671,-0.689566666666666
T2.30H_1,-2.4299312544,0.08713333333333395
T3.0H_1,-3.0049017492,-0.31306666666666594
T3.30H_1,-3.7214717292,-0.06866666666666532
T4.0H_1,-3.7336017467,-0.014266666666665984
T5.0H_1,-3.6420080769,-0.6668666666666656
HPh_1,-7.6644430057,0.16493333333333382
HPh_2,-7.6728295559,-0.06726666666666503
HPh_3,-7.1737409924,-0.03216666666666512
LPh_1,-7.8881880941,0.035233333333334116
LPh_2,-6.772559769,0.6082333333333345
LPh_3,-6.5259584202,0.07763333333333478
LPhT_1,-7.5187729790999995,-0.6524666666666654
LPhT_2,-8.0090849312,-0.5628666666666664
LPhT_3,-8.7142048592,-0.2757666666666658
SMMPr_1,-1.7083570583,0.05883333333333418
SMMPr_2,-2.0889670879,0.07473333333333443
SMMPr_3,-4.7647359444,0.11403333333333343
HiTm_1,7.7248984229,0.23363333333333358
HiTm_2,7.7091471079,0.45003333333333373
HiTm_3,8.1356355903,0.6454333333333349
LoTm_1,-26.5643209969,0.1428333333333338
LoTm_2,-27.1037918973,-0.4027666666666665
LoTm_3,-26.2789214977,-0.5141666666666662
HiOs_1,1.5286982919,1.126733333333334
HiOs_2,-0.1958243703,0.8500333333333341
HiOs_3,1.8366324004,1.035633333333335
BMM_1,-6.0615564637,-0.08276666666666621
BMM_2,-6.5360129165,-0.24756666666666582
BMM_3,-6.9580172081,-0.18436666666666568
Heat_1,-5.5650300835,0.3688333333333347
Heat_2,-6.5148355513,0.07253333333333423
Heat_3,-7.012978974,-0.16476666666666517
Cold_1,-19.2652233743,-0.010366666666666191
Cold_2,-18.9326338264,-0.636966666666666
Cold_3,-17.885389772,-1.218166666666665
Etha_1,-14.753774205100001,-1.0903666666666663
Etha_2,-13.2543237113,-1.4679666666666655
Etha_3,-14.6702445608,-1.057366666666665
SMM_1,-11.6475881149,-0.05986666666666629
SMM_2,-12.7420546334,-0.16616666666666546
SMM_3,-12.7997277042,-0.05256666666666554
Salt_1,-10.3994112629,-0.4447666666666663
Salt_2,-13.1691958127,-0.5184666666666651
Salt_3,-10.3700925273,-0.4389666666666656
Mt0_1,-17.7314734381,-0.171266666666666
Mt0_3,-10.1940886086,0.3723333333333336
M0t45_1,-15.850887186,0.11623333333333363
M0t45_2,-14.7144563315,0.014633333333334164
M0t45_3,-10.0957793609,0.3627333333333347
M0t90_1,-14.4670280446,-0.5578666666666656
M0t90_2,-9.8067653512,0.4996333333333336
M0t90_3,-12.7846868024,0.2811333333333348
M40t45_1,-16.7324921772,-0.027666666666666728
