locus,gene_weight,gene_name,gene_product,COG,operon,regulator,DegU,link
BSU02780,0.157931865,ycdA,lipoprotein,Function unknown,ycdA,"SwrAA;2,Abh,DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02780
new_300503_300693_c,0.154946175,S101,5'UTR of ycdA,No COG category,,"SwrAA;2,Abh,DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_300503_300693_c
BSU12180,0.15412625900000002,yjhA,lipoprotein,Function unknown,"yjhA->yjhB, yjhA",,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU12180
BSU39310,0.13501841,yxiC,unknown,No COG category,yxiB->yxxE,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39310
new_4039160_4039225_c,0.13439501,S1515,5'UTR of yxiB,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4039160_4039225_c
BSU39300,0.133304894,yxiD,toxin,No COG category,yxiB->yxxE,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39300
BSU39320,0.129558135,yxiB,unknown,No COG category,"yxiB, yxiB->yxxE",,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39320
BSU31875,0.120649385,yukB,"membrane [[protein|FtsK]]/[[protein|125325B485FBC60798EDA4B4BFB24C6FCBC4C513]]-like ATPase, part of the type VII protein secretion system",Cell cycle control and cell division,yukE->yueD,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31875
BSU31890,0.12045800400000001,yukC,"membrane pseudokinase-like protein, part of the type VII protein secretion system",Function unknown,yukE->yueD,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31890
BSU34850,0.119002538,yvcA,lipoprotein,No COG category,yvcA->yvzA,"DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU34850
BSU31860,0.11700362800000001,yueB,"part of the type VII protein secretion system, receptor for phage SPPI",Function unknown,yukE->yueD,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31860
BSU31900,0.116797159,yukD,"ubiquitin-like protein, part of the type VII protein secretion system, putative bacteriocin",Function unknown,yukE->yueD,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31900
new_3728120_3728202_c,0.111512821,S1391,5'UTR of ywqH,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3728120_3728202_c
BSU12190,0.109844519,yjhB,unknown,Nucleotide transport and metabolism,yjhA->yjhB,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU12190
BSU34840,0.105495459,yvcB,unknown,No COG category,yvcA->yvzA,"DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU34840
BSU08150,0.10494014,yfjC,unknown,No COG category,yfjA->yfjF,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08150
BSU34830,0.103448814,yvzA,unknown,No COG category,yvcA->yvzA,"DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU34830
new_3582691_3582779_c,0.102251211,S1330,5'UTR of yvcA,No COG category,,"DegU,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3582691_3582779_c
BSU02710,0.101109127,yczC,unknown,Function unknown,yczC,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU02710
BSU08160,0.10004085199999999,yfjB,unknown,No COG category,yfjA->yfjF,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08160
BSU31850,0.09934397800000001,yueC,part of the type VII protein secretion system,Function unknown,yukE->yueD,"SigA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31850
BSU36200,0.099095978,ywqI,unknown,No COG category,ywqH->ywqL,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36200
BSU36210,0.097893574,ywqH,unknown,No COG category,ywqH->ywqL,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36210
BSU36190,0.09619128199999999,ywqJ,putative toxin,No COG category,ywqH->ywqL,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36190
new_886682_886774_c,0.089454544,S282,intergenic region,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_886682_886774_c
BSU08130,0.088491036,yfjE,unknown,Function unknown,yfjA->yfjF,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08130
BSU08140,0.088459577,yfjD,unknown,Function unknown,yfjA->yfjF,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08140
BSU08170,0.086190906,yfjA,unknown,Function unknown,yfjA->yfjF,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08170
BSU39290,0.084837723,yxxD,antitoxin,No COG category,yxiB->yxxE,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39290
new_3187402_3187502,0.08436421699999999,S1185,5'UTR of bslA,No COG category,,"DegU,AbrB,LutR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3187402_3187502
BSU18908,0.082072673,yozY,unknown,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18908
BSU39280,0.080295586,yxxE,unknown,No COG category,yxiB->yxxE,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39280
BSU31080,0.078514348,bslA,"biofilm surface layer, inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation",No COG category,bslA,"DegU,AbrB,LutR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31080
BSU36180,0.077159588,ywqK,"antitoxin, inhibition of the cytotoxic activity of [[protein|2F9C623DDF9F93EFD46F024FDA3AF2A92FC9BF7A]]",No COG category,ywqH->ywqL,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36180
BSU06812,0.07526471400000001,yeeF,putative toxin,"Replication, recombination and repair",yeeF->yezG,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06812
BSU39960,0.072909458,yxaI,unknown,No COG category,yxaI,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39960
BSU04470,0.070981922,dctP,C4-dicarboxylate transport protein,Intracellular trafficking and secretion,"dctP, dctS->dctP","SigA,CcpA,Fur",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU04470
BSU08120,0.070648641,yfjF,unknown,Function unknown,yfjA->yfjF,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU08120
BSU09630,0.066346136,yhdX,unknown,No COG category,yhdX,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09630
new_834310_834382,-0.074153274,S262,5'UTR of citM,No COG category,,"SigA,CcpA",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_834310_834382
