,A,PuuR,RpoS,ArcA
R2,,0.8150946837226039,0.025954200278800688,0.015681855484150797
xmin,,-4.9419215794,-8.919357295,-3.6017898952
xmid,,,1.2798062640903431,1.3943150001485078
xmax,,3.1047131755,4.1241387708,3.7109145168
ystart,,-18.789997249988303,-2.7293785988775454,-2.621401219375675
yend,,11.003459318688401,6.843534290452827,3.452002396997031
SRX1125282,0.8449477022,0.16172034030000002,0.12389400360000001,0.1536251284
SRX1125283,-0.5165206746000001,-0.1552072764,0.0917269352,-0.1085541986
SRX1125284,-0.8946263964000001,0.1145119478,0.2668871882,-0.269085791
SRX1125285,1.1248782274,0.4143952326,0.6346371772,0.0131235692
SRX1125286,8.4899669646,2.5433075701,0.7311205703,0.26443002660000003
SRX1125287,11.4209562413,2.5227248915000002,0.047843636,-0.1415413156
SRX1125288,0.3823961997,-0.1874423339,-0.011411859,-0.1227035083
SRX1125289,-0.9312437210000001,0.11144034480000001,0.1487334191,-0.4182880135
SRX1125290,0.7047748302,0.1660206109,0.5719214457,-0.1456535487
SRX1125291,2.5483962662,0.9694866467000001,0.7703039475,0.0864050615
SRX1125292,9.4750109686,2.8053711281,0.9491057834000001,0.326354303
SRX1125293,10.6673935725,2.7471404584,0.7949646441,0.2809830862
SRX1125294,-1.2273439019,0.0257219936,-0.1124821446,-0.0309216201
SRX1125295,-0.008981479,0.3918408446,0.0485519624,-0.0305290823
SRX1125296,-0.2656579747,0.1079618242,0.2451175693,-0.30555163100000005
SRX1125297,1.6594156246,0.6403002209,0.5595453177,0.0006214416
SRX1125298,7.9131905786,2.6882959683000003,1.0364768899,0.6068628834
SRX1125299,10.6962515811,2.7400104632,0.7744984592,0.5516321501
SRX5694250,-4.3094543457,-1.6381166339000002,-0.6575883396000001,0.49107579710000004
SRX5694251,-0.34218010660000003,0.0020527048,-0.41439528130000003,-0.9538123343
SRX5694252,3.2954772351,-1.7385524614999999,-1.5267586985000001,0.3631602573
SRX5694253,-4.1085791574,-0.9598359904,0.013532579400000001,-0.17749356630000002
SRX5694254,-1.0263554036,0.0260023178,-0.4507050045,-0.2571254471
SRX5694255,0.18124867690000002,-1.7162376284,-1.3699185348,-0.5795873771
SRX5694256,-3.7748095768,-0.8745851876,0.0290375594,-0.6394832572
SRX5694257,-3.8712895523,-0.7024936392000001,-0.18024768900000002,-0.5994008193
SRX5694258,-6.0551992992,-1.2161881099,-0.34416743510000003,-0.8093510237
SRX5694259,8.8557661518,2.2360125588,-0.4766743304,-1.223874242
SRX5694260,0.6542361075,0.1510245745,0.2482267076,-0.20132201460000002
SRX5694261,-1.9440620197,-0.8697134003,0.022944085000000003,-0.38609345780000004
SRX5694262,-3.5873941356,-1.517977152,-1.1664088354,1.2331627263
SRX5694263,-1.5443203687,-0.3385571196,0.2455560166,-0.4496263185
SRX5694264,-3.0267792161,-0.8736182142000001,-0.7270261651000001,-0.5000365137
SRX5694265,-5.3725964893,-1.337736092,0.1246632279,-0.9224545732
SRX5694267,-3.280181559,-0.441915406,0.17891339180000002,-0.31040230480000003
SRX5694268,-1.079292026,-0.8741869329,0.8690290136000001,-0.1547312355
SRX5694269,-0.5771890168,-0.1923881513,0.1019266675,-0.7734435138
SRX5694271,-2.3251202078,-0.3289378269,-0.159521414,-0.2452190206
