sample,BSU31710
LBexp_1,13.4455
LBexp_2,14.1326
LBexp_3,13.6749
LBtran_1,14.4692
LBtran_2,13.8983
LBtran_3,13.8463
LBstat_1,14.9791
LBstat_2,14.5306
LBstat_3,14.1831
LBGexp_1,13.2757
LBGexp_2,13.2736
LBGexp_3,13.3656
LBGtran_2,13.9057
LBGtran_3,13.9811
LBGstat_1,13.3324
LBGstat_2,12.8582
LBGstat_3,13.6869
S0_1,13.5767
S0_2,13.8495
S0_3,13.7564
S1_1,14.6011
S1_2,14.3269
S1_3,14.6017
S2_1,14.512
S2_2,14.4056
S2_3,14.4765
S3_1,15.0353
S3_2,14.855
S4_1,15.4442
S4_2,15.1846
S4_3,15.0243
S5_1,14.9575
S5_2,15.4413
S5_3,15.3185
S6_1,14.6879
S6_2,12.9827
S6_3,14.7529
S6/t_1,14.1817
S6/t_2,11.6617
S6_4,13.0941
S6_5,13.9919
S6_6,13.7867
S7_4,13.9078
S7_5,13.4667
S7_6,13.8355
S8_4,12.8235
S8_5,11.655
G135_1,12.7261
G135_3,10.7712
G150_1,12.7921
G150_2,12.9462
G150_3,13.2245
G180_1,12.5025
G180_2,12.8865
G180_3,12.0286
C30_1,12.0168
C30_2,11.9269
C90_1,12.8682
C90_2,12.8994
BI_1,13.3078
BI_2,13.6372
BC_2,13.3245
BC/t_1,12.3209
BC/t_2,13.1004
BC_1,12.7772
Sw_1,12.0716
Sw_2,12.8963
BT_1,13.2037
BT_2,12.6309
B36_1,12.9695
B36_2,12.8664
B60_1,14.0133
B60_2,14.3543
M9exp_1,14.0597
M9exp_2,13.6787
M9exp_3,13.7773
M9tran_1,13.6461
M9tran_2,13.617
M9tran_3,13.7423
M9stat_1,13.9057
M9stat_2,14.1397
M9stat_3,13.8987
M+G_1,13.2548
M+G_2,13.5562
M+G_3,13.5056
Glu_1,14.0289
Glu_2,13.8826
Glu_3,14.009
Fru_1,14.2343
Fru_2,14.299
Fru_3,13.7349
Mal_1,13.2005
Mal_2,13.6287
Mal_3,13.8501
G+S_2,13.6266
G+S_3,13.9996
Pyr_1,13.1533
Pyr_2,13.796
Pyr_3,13.2256
Gly_1,12.7906
Gly_2,14.1221
Gly_3,12.4712
Glucon_1,13.1408
Glucon_2,13.6111
Glucon_3,11.9311
aero_1,13.188
aero_2,12.8927
aero_3,13.7687
nit_1,13.8583
nit_2,14.2369
nit_3,13.7202
ferm_1,14.5337
ferm_2,13.6121
ferm_3,13.69
T-5.40H_1,14.0947
T-4.40H_1,13.4954
T-3.40H_1,13.6972
T-2.40H_1,13.4209
T-1.40H_1,13.2644
T-1.10H_1,13.3434
T-0.40H_1,13.1051
T0.0H_1,13.1967
T0.30H_1,14.9646
T1.0H_1,14.2442
T1.30H_1,14.3759
T2.0H_1,13.4927
T2.30H_1,14.1104
T3.0H_1,13.7871
T3.30H_1,14.0094
T4.0H_1,13.9748
T5.0H_1,13.1618
HPh_1,13.3902
HPh_2,12.9958
HPh_3,13.3975
LPh_1,13.0265
LPh_2,13.4874
LPh_3,13.2595
LPhT_1,15.0031
LPhT_2,14.6574
LPhT_3,15.1056
SMMPr_1,13.6397
SMMPr_2,13.6246
SMMPr_3,13.947
HiTm_1,13.1558
HiTm_2,13.875
HiTm_3,13.9835
LoTm_1,14.4728
LoTm_2,14.3499
LoTm_3,14.4142
HiOs_1,13.8696
HiOs_2,13.4129
HiOs_3,13.4974
BMM_1,13.6403
BMM_2,13.5238
BMM_3,13.3055
Heat_1,14.0541
Heat_2,13.6822
Heat_3,13.7112
Cold_1,13.3579
Cold_2,12.8189
Cold_3,12.3511
Etha_1,12.3006
Etha_2,12.2623
Etha_3,12.7061
SMM_1,13.8659
SMM_2,13.7013
SMM_3,13.7362
Salt_1,11.8973
Salt_2,12.1503
Salt_3,12.2398
Mt0_1,13.4257
Mt0_3,13.8474
M0t45_1,14.0607
M0t45_2,14.177
M0t45_3,14.5988
M0t90_1,13.9211
M0t90_2,15.4094
M0t90_3,14.637
M40t45_1,13.5718
M40t45_2,14.6633
M40t45_3,14.4449
M40t90_1,14.3457
M40t90_2,15.3294
M40t90_3,15.1339
dia0_1,13.6324
dia0_2,14.003
dia0_3,13.9838
dia5_1,13.5538
dia5_2,13.3362
dia5_3,13.1694
dia15_1,12.4679
dia15_2,12.9069
dia15_3,13.0779
Diami_1,10.5473
Diami_2,11.5406
Diami_3,10.9841
Paraq_1,11.9645
Paraq_2,12.8884
Paraq_3,11.2844
H2O2_1,11.8757
H2O2_2,12.1496
H2O2_3,11.4004
Oxctl_1,12.0431
Oxctl_2,12.0476
Oxctl_3,12.8123
GM-0.1_1,13.4103
GM-0.2_1,13.1437
GM+5_1,13.3439
GM+15_1,13.4245
GM+25_1,14.2348
GM+45_1,13.7369
GM+60_1,13.5643
GM+90_1,13.6173
GM+120_1,12.2536
GM+150_1,13.2771
GM-0.1_2,14.0329
GM-0.2_2,14.3723
GM+5_2,13.667
GM+10_2,13.4832
GM+15_2,13.5672
GM+25_2,13.9237
GM+45_2,12.3369
GM+60_2,12.4185
GM+90_2,13.7047
GM+150_2,13.2201
GM-0.1_3,13.977
GM-0.2_3,13.818
GM+5_3,13.5897
GM+10_3,12.3752
GM+15_3,13.4443
GM+25_3,12.4607
GM+45_3,12.2339
GM+60_3,12.1519
GM+90_3,13.795
GM+120_3,13.2988
GM+150_3,13.7782
MG-0.1_1,13.7637
MG+5_1,13.5646
MG+10_1,14.1613
MG+15_1,13.4732
MG+25_1,13.8552
MG+45_1,13.6156
MG+120_1,11.8675
MG+150_1,13.7117
MG-0.1_2,12.7793
MG-0.2_2,13.4717
MG+5_2,13.4552
MG+10_2,13.8152
MG+15_2,14.8775
MG+25_2,13.4995
MG+45_2,12.571
MG+60_2,13.2443
MG+90_2,12.7846
MG+120_2,13.8663
MG-0.1_3,14.4908
MG-0.2_3,13.9817
MG+5_3,14.0374
MG+10_3,12.5179
MG+15_3,14.4346
MG+25_3,14.4683
MG+45_3,14.4512
MG+60_3,12.9946
MG+90_3,14.0448
MG+120_3,13.9965
MG+150_3,14.1038
