,-0.05606397222342942,-6.938893903907228e-18,0.056063972223429404,0.11212794444685882,0.1681919166702882,0.22425588889371767,0.2803198611171471,0.3363838333405765,0.3924478055640059,0.44851177778743534,0.5045757500108647,0.5606397222342941,0.6167036944577236,0.672767666681153,0.7288316389045824,0.7848956111280118,0.8409595833514412,0.8970235555748706,0.9530875277983001,1.0091515000217293
thresh,-0.08409595833514412,0.08409595833514412,1,,,,,,,,,,,,,,,,,
unreg,40,4125,44,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unreg_genes,[],[],[],['ydfK'],[],[],[],[],[],[],[],[],[],[],['ynfT'],[],[],[],[],[]
