,A,PuuR,RpoS,ArcA
R2,,0.8766619724903822,0.1319684229482918,0.014569409308180403
xmin,,-7.178635913,-2.4793139040000005,-9.267007604
xmid,,-4.131420150467836,,-0.16734164188341788
xmax,,2.1789776190000008,3.139938211880993,3.5163621913034038
ystart,,-17.807624420031967,-12.416931124249611,-7.923187770936865
yend,,7.3931187579864615,-3.0373858458545655,-3.698314330751546
control__wt_glc__1,-0.3601413710974805,-0.08672095499999967,-0.049727751000000715,0.03663697100000008
control__wt_glc__2,0.3601413710975397,0.08672095500000054,0.049727751000000715,-0.03663697100000008
fur__wt_dpd__1,-6.393847597678462,-1.277566971999999,1.6503265020000004,1.0583041259999997
fur__wt_dpd__2,-5.644166485523823,-1.1073937209999984,1.6437026919999995,1.1267206660000006
fur__wt_fe__1,-2.076782219728186,-0.5845494549999994,-0.2294725589999995,-0.052645840000000284
fur__wt_fe__2,-2.8976270568062263,-0.7952439049999986,-0.2717253760000009,-0.1298470389999995
fur__delfur_dpd__1,-5.238026576014542,-1.0194699989999991,1.5271957219999999,1.1226786959999997
fur__delfur_dpd__2,-4.969959741037175,-0.8657055309999988,1.2385445819999994,1.0438290660000007
fur__delfur_fe2__1,-8.128804731355592,-1.765127835999999,0.6013075319999999,0.03887232199999957
fur__delfur_fe2__2,-8.339623562200076,-1.5880942839999994,0.6226109219999998,0.005759821999999914
acid__wt_ph5__1,-6.186192158937786,-1.1663703839999986,0.17730274899999898,0.907706566
acid__wt_ph5__2,-6.321573243625529,-1.0729632199999992,0.18070148099999986,0.8854765760000003
acid__delgadx_ph5__2,-6.394163716278717,-1.227003623999999,0.041918445000000304,0.6386470709999994
acid__delgadw_ph5__1,-5.782239596784599,-1.2004346069999992,0.13294699599999935,0.7741884859999999
acid__delgadw_ph5__2,-6.362981521068629,-1.215378005999998,0.028727889000000676,0.8036499260000003
acid__delgade_ph5__1,-5.701798737291279,-0.9992843399999992,0.245873005,0.4993382329999996
acid__delgade_ph5__2,-5.528576206155036,-1.1610645469999987,0.3536770219999994,0.4822611769999998
oxidative__wt_pq__1,-0.3563310202548694,0.25644997700000083,2.4493267319999994,2.1614953959999994
oxidative__wt_pq__2,-0.8719359871987106,0.1147184740000018,2.150239471999999,2.173902676000001
oxidative__deloxyr_pq__1,1.630391508038668,0.6535658550000001,1.9186836320000005,2.1325921060000006
oxidative__deloxyr_pq__2,1.60125746803847,0.4336656180000009,1.8757188320000004,2.155119376
oxidative__delsoxr_pq__1,-4.293662825457942,-1.0003420529999991,2.1746498119999997,2.1141333860000007
oxidative__delsoxr_pq__2,-4.493553814960073,-0.916230603999999,2.132365622,2.045519786
oxidative__delsoxs_pq__1,-1.316583135251702,-0.1947685559999988,2.4270615719999995,2.3445910960000003
oxidative__delsoxs_pq__2,-1.2744836388792864,-0.06738457099999895,2.475274892,2.4052781759999995
