,-0.12751112908662318,-0.09917532262292914,-0.07083951615923509,-0.04250370969554104,-0.014167903231846996,0.014167903231847051,0.0425037096955411,0.07083951615923514,0.09917532262292919,0.12751112908662324,0.15584693555031728,0.18418274201401133,0.21251854847770538,0.24085435494139942,0.26919016140509344,0.2975259678687875,0.32586177433248154,0.3541975807961756,0.38253338725986963,0.4108691937235637
thresh,-0.1416790323184702,0.1416790323184702,5,,,,,,,,,,,,,,,,,
unreg,0,0,0,15,1997,1719,6,1,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,0,0,1,163,121,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA,0,0,0,4,101,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoS and ArcA,0,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RpoS, PuuR, and ArcA",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS_genes,[],[],[],['narU'],"['speC' 'ydbK' 'aldB' 'hdeB' 'ecnB' 'dkgB' 'yhjG' 'ydhV' 'speB' 'ddpX'
 'hdeA' 'yqiH' 'ymgA' 'hdeD' 'ddpC' 'ddpF' 'ddpD' 'bsmA' 'ddpA' 'ddpB'
 'oxyR' 'proV' 'ydhX' 'ydhY' 'ygiC' 'hofP' 'hmp' 'galK' 'gabP' 'xapB'
 'csrA' 'znuA' 'elaB' 'ydhT' 'mglB' 'asr' 'ydhW' 'yhiD' 'msyB' 'lsrA'
 'yadS' 'iraD' 'ygiB' 'blr' 'lhgO' 'mdtA' 'yciF' 'galM' 'poxB' 'yqiI'
 'yhiM' 'rpoH' 'artP' 'glgP' 'gabT' 'evgA' 'hchA' 'ariR' 'glk' 'speG'
 'frdB' 'hofM' 'alkB' 'mglA' 'recF' 'ybaT' 'viaA' 'glgC' 'mglC' 'yibQ'
 'btuF' 'setA' 'gpmA' 'gabD' 'artI' 'frdC' 'csiE' 'ydbD' 'yddG' 'fbaA'
 'ravA' 'glgA' 'rseC' 'ytfK' 'gadW' 'proW' 'hofO' 'envC' 'pdhR' 'pdeC'
 'ppk' 'lsrC' 'rhaR' 'dnaN' 'frdA' 'talA' 'ynfB' 'ftsA' 'ydcU' 'yeiL'
 'artM' 'ftsZ' 'phoU' 'dhaM' 'ycgZ' 'gyrB' 'yciG' 'evgS' 'adhE' 'araG'
 'rseB' 'baeS' 'dhaL' 'gor' 'yciT' 'ftsQ' 'pqiA' 'insD-5' 'yafP' 'galT'
 'mdtF' 'yiaG' 'mlrA' 'tolC' 'fau' 'pstS' 'tktB' 'dkgA' 'wrbA' 'yciZ'
 'luxS' 'hofN' 'xapA' 'pgk' 'otsA' 'csgD' 'gapA' 'htrE' 'ppx' 'cbpA'
 'dinB' 'sgrT' 'artQ' 'ydcT' 'pphA' 'cpxA' 'rraA' 'ydhU' 'yafO' 'yehY'
 'treA' 'yciE' 'baeR' 'metK' 'galE' 'yafN' 'hdfR' 'mpl' 'yccJ' 'pgi'
 'yihG' 'alkA' 'mutS']","['ynfE' 'pstC' 'proX' 'pfkA' 'topA' 'gltF' 'mdtC' 'cpxR' 'ompN' 'dps'
 'katE' 'araF' 'mtn' 'blc' 'rssA' 'pdeR' 'rssB' 'mdtB' 'ldcC' 'ilvY'
 'lsrB' 'lsrG' 'ydcS' 'frdD' 'pstA' 'csgC' 'ihfB' 'dhaR' 'ybjP' 'osmF'
 'nhaA' 'otsB' 'yggE' 'yffP' 'eno' 'sohB' 'mdtD' 'ynfF' 'nhaR' 'tpiA'
 'ansP' 'yehW' 'yadV' 'ihfA' 'pstB' 'dgcC' 'fic' 'yffO' 'kbp' 'epd' 'ada'
 'insN' 'rhaS' 'pykA' 'murP' 'osmE' 'rseA' 'rseD' 'crr' 'osmC' 'araH'
 'pcnB' 'insC-5' 'dhaK' 'btsT' 'phr' 'aidB' 'csgA' 'ydcV' 'rsmG' 'pabA'
 'tam' 'cbpM' 'yehX' 'yabI' 'pqiB' 'proP' 'ompF' 'rpoE' 'sra' 'insI-1'
 'glsA' 'bolA' 'lsrD' 'ynfH' 'pqiC' 'dmsD' 'mnmG' 'cfa' 'sodC' 'gpmM'
 'astE' 'patD' 'ybgA' 'lsrF' 'folK' 'gadB' 'pfkB' 'murR' 'fbaB' 'yhfG'
 'csgE' 'osmB' 'ybiI' 'murQ' 'ynfG' 'uspB' 'ymgC' 'csgB' 'csgG' 'glgS'
 'astD' 'mdtE' 'gltD' 'gadC' 'astB' 'treF' 'gltB' 'pykF' 'acs' 'astC']",['patA' 'csgF' 'astA' 'actP' 'yjcH'],[],[],[],[],[],[],[],[],[],[],[],[],[]
ArcA_genes,[],[],[],['cyoA' 'ybfA' 'mqo' 'sstT'],"['lldP' 'lldD' 'arcA' 'hybA' 'mdh' 'argR' 'potF' 'cydA' 'hybO' 'hybB'
 'sodA' 'ndk' 'glpD' 'lldR' 'dcuB' 'yncE' 'caiB' 'glpE' 'kgtP' 'grcA'
 'carA' 'ubiA' 'rutD' 'dcuA' 'ydgC' 'igaA' 'caiA' 'yieE' 'rpoS' 'gatZ'
 'putA' 'cycA' 'cydC' 'sdhA' 'yhgE' 'rstA' 'folE' 'gatY' 'rutG' 'fumB'
 'cydD' 'cydB' 'gatD' 'yigI' 'yncD' 'nuoJ' 'citX' 'hybG' 'pntA' 'dppA'
 'oppF' 'nuoK' 'dsbB' 'fumA' 'ndh' 'moeB' 'oppD' 'ssb' 'rutE' 'sdhB' 'rho'
 'rhaT' 'pldA' 'feoA' 'hybC' 'gatA' 'ypdA' 'ackA' 'nuoM' 'nuoI' 'rmf'
 'dcuC' 'hybD' 'aceA' 'rplW' 'cyoC' 'nuoH' 'oppB' 'cyoB' 'betI' 'rpsC'
 'focA' 'pncB' 'aldA' 'hybE' 'cadA' 'dctA' 'oppA' 'sthA' 'gatB' 'oppC'
 'fadH' 'xylR' 'aceB' 'rplC' 'rplB' 'rplV' 'treB' 'rpsS' 'rplP' 'ybdN']","['hemA' 'citF' 'manA' 'nuoL' 'caiT' 'pflB' 'nupC' 'fadJ' 'citE' 'kdpA'
 'rplD' 'acnB' 'nuoG' 'ompW' 'iraM' 'rpmC' 'citG' 'fadI' 'dpiB' 'uvrA'
 'fnr' 'ptsG' 'treC' 'cyoD' 'thiC' 'glpB' 'prmC' 'msrB' 'aceK' 'cadB'
 'betT' 'betB' 'moeA' 'ynaJ' 'gatC' 'argT' 'rpsJ' 'sdhD' 'rpsQ' 'cyoE'
 'prfA' 'ydeA' 'nuoF' 'citC' 'fadE' 'dpiA' 'caiC' 'caiD' 'tpx' 'glcD'
 'glcG' 'ybiU' 'nuoE' 'nudE' 'glpC' 'nuoA' 'hybF' 'betA' 'pepN' 'nuoN'
 'icd' 'rutF' 'rutA' 'rutB' 'glcF' 'rutC' 'acpP' 'nuoC' 'gltA' 'glpA'
 'caiE' 'ubiC' 'glcE' 'sdhC' 'yeiQ' 'glcB' 'fadA' 'yfiF' 'putP' 'yjiR'
 'nuoB' 'fadD' 'glcA' 'yejG' 'glcC' 'fadB' 'yhjE']",['thrA' 'phoH'],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS and ArcA_genes,[],[],[],[],"['csiD' 'appY' 'hyaD' 'aceE' 'hyaF' 'aceF' 'hyaE' 'hyaC' 'appA' 'gadX'
 'hyaB' 'appB' 'sucD' 'osmY' 'appC' 'sucC']","['acnA' 'hyaA' 'sucB' 'rsd' 'fumC' 'lpd' 'xthA' 'fadL' 'sucA' 'gadA'
 'gadE']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
"RpoS, PuuR, and ArcA_genes",[],[],[],[],[],[],[],[],[],[],[],[],['puuR'],['puuP'],[],['puuD' 'ymjE' 'puuE'],['puuA' 'puuB'],['puuC'],[],[]
