,A,SigI
R2,,0.7715627776130158
xmin,,-5.741239843394556
xmid,,
xmax,,2.8723253037553484
ystart,,-13.804385536552996
yend,,7.100677907429979
amb:ctrl:1,-0.43649271648962057,-0.02589053000081787
amb:ctrl:2,0.5647895874338787,-0.12794649668562208
amb:ctrl:3,-0.12829687094424702,0.15383702668643906
amb:amb:1,0.04283627036100317,-0.14082612854537224
amb:amb:2,1.2190133438473014,0.34418314904088465
amb:amb:3,0.8470742486287713,0.6847661579423772
ave1:ctrl_5m:1,0.08260094352081282,0.08137225135310899
ave1:vdave1_5m:1,-1.0993576776295018,-0.4290571302072808
ave1:ctrl_20m:1,-0.5719679355423358,0.2679894269132266
ave1:vdave1_20m:1,0.4502228912040073,0.5081484766372064
ave1:supernatant_5m:1,0.005069942141941865,-0.0383989217627212
ave1:vnave1_20m:1,-0.00810836179301527,0.5731065557786961
ave1:supernatant_20m:1,-0.528183482913063,0.2090867287850653
ave1:ctrl_5m:2,-0.0826009435208147,-0.08137225135310988
ave1:vdave1_5m:2,-1.6672081722148513,-0.3529952591435261
ave1:ctrl_20m:2,-0.3036789108806753,0.414402181107298
ave1:vdave1_20m:2,0.949418514220078,0.6690085179027028
ave1:supernatant_5m:2,-0.119291296552587,-0.02747011172992853
ave1:vnave1_20m:2,-0.06128362885884639,0.3952781121464026
ave1:supernatant_20m:2,-0.59180462506675,0.5258513078962963
biofilm_time:8h:1,0.14959759311100182,-0.04879160326840193
biofilm_time:8h:2,-0.20456219224061276,0.07195348870523066
biofilm_time:8h:3,-0.13682331934303096,0.036354648527988864
biofilm_time:8h:4,0.1917879184726392,-0.05951653396482026
biofilm_time:12h:1,-1.0111246657873325,-0.08154974259200465
biofilm_time:12h:2,-0.8824702700832789,0.16502367471558174
biofilm_time:12h:3,-1.772889402604559,-0.2693368791462474
biofilm_time:12h:4,-2.055023622817865,-0.3649838878545868
biofilm_time:16h:1,-4.055178234139131,-0.8890243485148499
biofilm_time:16h:2,-3.240379369655745,-1.0388718220895248
biofilm_time:16h:3,-4.857305628158738,-1.1361516037553792
biofilm_time:16h:4,-4.940124344878988,-1.1034665605151677
biofilm_time:20h:1,-3.575198643465023,-0.1281619141504482
biofilm_time:20h:2,-1.8712690605847049,-0.2193389026617236
biofilm_time:20h:3,-3.931185234894081,-0.026750791877811157
biofilm_time:20h:4,-1.5527526446803928,-0.01734485568035904
biofilm_time:24h:1,-3.0505948063993937,-0.08008749172991081
biofilm_time:24h:2,-0.3406158478556494,0.14929138772984452
biofilm_time:24h:3,-1.3302552952907147,-0.139619193261729
biofilm_time:24h:4,-0.641485769349804,0.0714744424388778
