,yfhG
Cr_1,-0.00046508840511873565
Cr_2,-0.003760445880803755
Cr_3,-0.0059854033900382025
Cr_4,0.001244534686625881
Cr_5,0.0063769880555732215
Cr_6,0.006905414881744886
Fe_1,-0.042725847883902435
Fe_2,-0.07286481695665717
Fe_3,-0.1069331145746564
Fe_4,-0.15781019511880526
Fe_5,-0.2261540036928803
Fe_6,-0.07421093173106875
Cd_1,0.006266706564672892
Cd_2,0.012060915724860876
Cd_3,0.012874152645949348
Cd_4,0.01189991097461066
Cd_5,0.008211378871189534
Cd_6,0.009594304574125058
Zn_1,-0.026716909961252453
Zn_2,-0.03060625820485258
Zn_3,0.010639366363807088
Zn_4,0.0438568037443405
Zn_5,0.06424733954510134
Zn_6,0.06885640843505042
Cu_1,0.002466389771957183
Cu_2,0.006698094112316789
Cu_3,0.010963124738367443
Cu_4,0.020304761669430075
Cu_5,0.027151658838099644
Cu_6,0.029184546625541
Pb_1,0.0016163482648113878
Pb_2,0.01414776076652839
Pb_3,0.029129387949539686
Pb_4,0.04050908293982795
Pb_5,0.05454753178179597
Pb_6,0.06631083099840239
