,elaA
Cr_1,-0.0009388768624404957
Cr_2,0.0004011370773110902
Cr_3,0.002336032757071202
Cr_4,0.0043903450072606655
Cr_5,0.005451245087023568
Cr_6,0.007776283936930702
Fe_1,-0.007343032103892178
Fe_2,-0.026087979685959918
Fe_3,-0.05184697039054121
Fe_4,-0.08013941028248676
Fe_5,-0.10389674866241112
Fe_6,-0.12217367224119365
Cd_1,-0.0027172080950297103
Cd_2,-0.004354255759015117
Cd_3,-0.006004243128821036
Cd_4,-0.007938873837586406
Cd_5,-0.014073972911382468
Cd_6,-0.014118603004857126
Zn_1,0.0028114844034829983
Zn_2,0.005605727730476204
Zn_3,0.00757710633345397
Zn_4,0.016120154463511432
Zn_5,0.024041978193289664
Zn_6,0.029716482370870618
Cu_1,0.001602783524976627
Cu_2,0.0024839517583331
Cu_3,0.005745477529721214
Cu_4,0.011010969483086443
Cu_5,0.01758104283494654
Cu_6,0.02700187544051282
Pb_1,0.009359352630067484
Pb_2,0.01792897064547825
Pb_3,0.021562665325014614
Pb_4,0.02842478538902345
Pb_5,0.03616543125955278
Pb_6,0.04431711348461275
