,yfjM
Cr_1,-0.01647750151894286
Cr_2,-0.02240980078813504
Cr_3,-0.009749557731516634
Cr_4,-0.01770215233032723
Cr_5,-0.030969209933085006
Cr_6,-0.03598960797333424
Fe_1,-0.01496291743516716
Fe_2,-0.04348157225877732
Fe_3,-0.04923476731965623
Fe_4,-0.05016578434189699
Fe_5,-0.04215905965951218
Fe_6,-0.02782110290006825
Cd_1,0.002423165423022157
Cd_2,-0.00036780030602759963
Cd_3,-0.003038108829154365
Cd_4,-0.014990390217021109
Cd_5,-0.03694585052801745
Cd_6,-0.052479231465882716
Zn_1,-0.004237200173318589
Zn_2,-0.022098024347565644
Zn_3,-0.030794430430503637
Zn_4,-0.05382408064267508
Zn_5,-0.06074344693047371
Zn_6,-0.059297353399391524
Cu_1,0.0037629413557259046
Cu_2,0.0035774049476927187
Cu_3,-0.0033089004525427073
Cu_4,-0.011116065611363041
Cu_5,-0.015578202473084984
Cu_6,-0.014658237820148646
Pb_1,0.0027500642798249197
Pb_2,-0.0031419015639084138
Pb_3,0.00558639688783145
Pb_4,0.008640153295685137
Pb_5,0.008796873723324288
Pb_6,0.010621971593894795
