,ymdB
Cr_1,0.000653906514412559
Cr_2,0.006432998078073549
Cr_3,0.013756357172327515
Cr_4,0.023099589437975868
Cr_5,0.029740785598086593
Cr_6,0.03339867356053371
Fe_1,-0.011904650583901694
Fe_2,-0.0345789366309646
Fe_3,-0.061019357891282586
Fe_4,-0.09482927065706084
Fe_5,-0.12277613419188335
Fe_6,-0.14335127451758156
Cd_1,0.0009811541917786504
Cd_2,0.0008865590474632899
Cd_3,0.0027007880108084327
Cd_4,0.003186407857640589
Cd_5,-0.0014923216357053092
Cd_6,0.0003464486235311222
Zn_1,-0.0005481069624912367
Zn_2,-0.002643465240618031
Zn_3,0.00020521791308266023
Zn_4,0.0030155224695795828
Zn_5,0.004032296479000014
Zn_6,0.007200023077031416
Cu_1,0.005517437885244886
Cu_2,0.013986456124436178
Cu_3,0.02186829221038152
Cu_4,0.024649511086484426
Cu_5,0.033105433152997354
Cu_6,0.04714453416519174
Pb_1,0.00765587097673662
Pb_2,0.01405081339961927
Pb_3,0.02126227432339812
Pb_4,0.02457877970176175
Pb_5,0.03195262265325479
Pb_6,0.045416705124125926
