,ybcY
Cr_1,-0.005372729467998564
Cr_2,-0.010292158929296413
Cr_3,-0.014331701561236147
Cr_4,-0.019336042337165783
Cr_5,-0.02373700159764772
Cr_6,-0.031343951840236806
Fe_1,-0.010434261659584571
Fe_2,-0.02440419563631452
Fe_3,-0.035571702589479316
Fe_4,-0.04697479565499196
Fe_5,-0.051312383963611416
Fe_6,-0.0519585855790511
Cd_1,-0.003689544254808821
Cd_2,-0.00717122364409202
Cd_3,-0.009272860250609955
Cd_4,-0.005425950290557444
Cd_5,-0.006077810443951908
Cd_6,0.0002823702621433862
Zn_1,0.0188310380125352
Zn_2,0.061503496783293414
Zn_3,0.08535469765363808
Zn_4,0.10752950041993654
Zn_5,0.12473631782007093
Zn_6,0.13499747311411855
Cu_1,0.004383896612290936
Cu_2,0.008633223135446963
Cu_3,0.015525405698613418
Cu_4,0.02039399799744104
Cu_5,0.027130495527617485
Cu_6,0.03394702863262091
Pb_1,-0.0031227742587216483
Pb_2,-0.006564255383652618
Pb_3,0.04439023242913203
Pb_4,0.09313879879449773
Pb_5,0.12337768867129148
Pb_6,0.16295524422439142
