,mpaA
Cr_1,-0.0005615976812580309
Cr_2,-0.00090637785866349
Cr_3,0.003665763536605847
Cr_4,0.004667240626867878
Cr_5,0.010543075738568422
Cr_6,0.013507120349563207
Fe_1,-0.01458853977314782
Fe_2,-0.04150340579048277
Fe_3,-0.06708536151888707
Fe_4,-0.09520227027944482
Fe_5,-0.10870714517398704
Fe_6,-0.1240501521783116
Cd_1,0.0032906755838801828
Cd_2,0.009701922223363949
Cd_3,0.01812020724004066
Cd_4,0.024564874430099127
Cd_5,0.026922941552312542
Cd_6,0.03378559770739272
Zn_1,-0.007936818435553765
Zn_2,-0.02388290547244756
Zn_3,-0.03238752331279077
Zn_4,-0.030956410600342425
Zn_5,-0.031957907426580764
Zn_6,-0.046913729419585735
Cu_1,0.007478377191832802
Cu_2,0.010037957421952641
Cu_3,0.012520446056970495
Cu_4,0.01725723753398023
Cu_5,0.02666634506163169
Cu_6,0.03339303327015571
Pb_1,-0.0020175329196597813
Pb_2,0.0018705598612901344
Pb_3,0.012205302358387364
Pb_4,0.019102381313719063
Pb_5,0.02760387003290669
Pb_6,0.037846564632236415
