,mrr
Cr_1,-0.0007473657558217419
Cr_2,-0.0004387881447050535
Cr_3,0.002040037256179197
Cr_4,0.0027983983567045714
Cr_5,0.0019749544039394285
Cr_6,-0.0029422149134394663
Fe_1,-0.009568979816141776
Fe_2,-0.033187544337558245
Fe_3,-0.054666521777622094
Fe_4,-0.08017509337745189
Fe_5,-0.09938855754953743
Fe_6,-0.1096654399367894
Cd_1,0.0027792017571828713
Cd_2,0.004248707801886285
Cd_3,0.007377880281096444
Cd_4,0.007739441047410509
Cd_5,0.004317069407243526
Cd_6,0.00731537155199726
Zn_1,0.0020269326221492713
Zn_2,9.452767998182936e-05
Zn_3,-0.0002875083467737084
Zn_4,0.0028172252223893127
Zn_5,0.0042086678795159975
Zn_6,0.00818472423035348
Cu_1,0.00018673022921765172
Cu_2,0.0012479272310719927
Cu_3,5.4386080310887454e-05
Cu_4,-0.0010294420258676984
Cu_5,-0.0016989083186765073
Cu_6,0.0008109377467369139
Pb_1,0.0021006461799651763
Pb_2,0.006658991380485029
Pb_3,0.010775418828453823
Pb_4,0.017764476919794596
Pb_5,0.023911419137573556
Pb_6,0.03464641200970101
