,Value,list
TF,flhD;flhC,
reg_genes,78,"['ppdC' 'nrfB' 'glpA' 'ygbK' 'mglC' 'ccmB' 'hydN' 'recC' 'mdh' 'hypF'
 'nrfA' 'nrfG' 'napC' 'ycgR' 'gltL' 'nrfD' 'ppdB' 'glpB' 'gltI' 'gltK'
 'napB' 'ccmH' 'ccmC' 'mglA' 'ccmF' 'napA' 'fliY' 'napG' 'napF' 'mglB'
 'nrfC' 'gltJ' 'ccmE' 'ppdA' 'dsbE' 'nrfE' 'napD' 'napH' 'ccmA' 'glpC']"
comp_genes,41,['flhD' 'ymdA' 'flhC']
both_genes,38,"['fliD' 'fliT' 'flhE' 'fliP' 'fliQ' 'yhjH' 'fliE' 'yecR' 'flgK' 'flhB'
 'fliZ' 'fliI' 'flgL' 'fliO' 'flgM' 'fliJ' 'flgA' 'flgF' 'fliF' 'flgG'
 'fliS' 'flgB' 'flhA' 'flgC' 'fliL' 'flgJ' 'flgE' 'fliR' 'flgI' 'flgH'
 'fliH' 'fliG' 'fliN' 'fliA' 'fliM' 'flgD' 'flgN' 'fliK']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,21,
comp_ops,13,
both_ops,11,
