,A,flhD
R2,,0.7168075127418321
xmin,,0.0
xmid,,4.983353614884109
xmax,,8.2942441792
ystart,,-4.493682084297859
yend,,39.654681431369866
control__wt_glc__1,-0.0613735464,4.7417356229
control__wt_glc__2,0.0613735464,5.2894026641
fur__wt_dpd__1,-4.3497563404,3.4520712081
fur__wt_dpd__2,-4.0592545777,3.5066665116999998
fur__wt_fe__1,-7.1457960827,5.0418241517
fur__wt_fe__2,-6.8937889973,5.0162366813
fur__delfur_dpd__1,-5.1266409673,3.3173272635
fur__delfur_dpd__2,-5.7367778053,3.6783588844
fur__delfur_fe2__1,-1.9270510780999999,5.3321793916
fur__delfur_fe2__2,-3.0023791975,5.5392370532
acid__wt_ph5__1,-4.9611359469,3.8883219549
acid__wt_ph5__2,-4.3025266603,3.8997826638
acid__delgadx_ph5__1,-4.5986207757,3.6682266969
acid__delgadx_ph5__2,-5.5468501688,4.3890364068
acid__delgadw_ph5__1,-4.3284310804,3.8606943736
acid__delgadw_ph5__2,-4.1751585316,4.0752804653
acid__delgade_ph5__1,-4.5737125436,4.226308776
acid__delgade_ph5__2,-4.5850958898,4.1478372603
oxidative__wt_pq__1,-5.642909976,2.8235835086
oxidative__wt_pq__2,-6.2602781513,1.4914940693
oxidative__deloxyr_pq__1,-5.4379395004,2.9835627135
oxidative__deloxyr_pq__2,-5.5108835162,3.0842865558
oxidative__delsoxr_pq__1,-6.9577856482,2.9267660242
oxidative__delsoxr_pq__2,-6.1778134573,2.8862314237
oxidative__delsoxs_pq__1,-5.8105884495,3.0922927838
oxidative__delsoxs_pq__2,-6.7174486884,3.7516954289
nac_ntrc__wt_csn__1,-5.5551025196,3.4700446951
nac_ntrc__wt_csn__2,-5.2823043978,3.7135720001
nac_ntrc__wt_cytd__1,-6.838441865,4.2908741389
nac_ntrc__wt_cytd__2,-7.2707000322,3.8489620264
nac_ntrc__wt_gln__1,-7.2209829953,4.5334162846
nac_ntrc__wt_gln__2,-7.0361762186,3.6600806905
nac_ntrc__bw_delnac_csn__1,-2.2894089889,3.6896266252
nac_ntrc__bw_delnac_csn__2,-3.9461429588,4.0149142387
nac_ntrc__bw_delnac_cytd__1,-5.4962052437,4.1422579279
nac_ntrc__bw_delnac_cytd__2,-5.294333649,3.9636793624
nac_ntrc__bw_delnac_gln__1,-3.7174035533,4.5362536928
nac_ntrc__bw_delnac_gln__2,-5.0534033765,4.0528571688
nac_ntrc__bw_delnac_nh4__1,24.5260063598,6.2229403459
nac_ntrc__bw_delnac_nh4__2,24.3628592919,6.2628009813
misc__wt_no_te__1,-6.4352688299,3.6812534821
misc__wt_no_te__2,-1.6131570625,3.5329831032
misc__bw_delcbl__1,-0.8060250061,5.1526724555
misc__bw_delcbl__2,-0.8786459973,5.0209250559
misc__bw_delfabr__1,28.7992949228,7.1163203001
misc__bw_delfabr__2,28.9464651154,6.8577050882
misc__bw_delfadr__1,13.8809817769,5.7516346133
misc__bw_delfadr__2,13.9390178036,5.8752478618
misc__nitr_031__1,-4.0494458541,3.895694915
omics__wt_glu__1,-2.8427493428,4.9581466977
omics__wt_glu__2,-2.5744957129,4.2343608379
omics__wt_gly__1,-0.6386193360000001,5.0344986456
omics__wt_gly__2,-0.9803288599000001,5.2814624689
omics__wt_thr__1,-1.31546437,4.6100220348
omics__wt_thr__2,-3.2097764468,4.490278257
omics__bw_ac__1,9.7034020469,5.8600062616
omics__bw_ac__2,10.0184790152,6.4529749669
omics__bw_fum__1,20.0458742067,6.2130321438
omics__bw_fum__2,19.958408888,6.297936507
omics__bw_glc__1,1.3905498176,5.740466227
omics__bw_glc__2,0.5212204183,5.3194169224
omics__bw_pyr__1,3.4040911087,5.7434890825
omics__bw_pyr__2,2.7737560051,5.7646541284
ompr__wt_nacl__1,-6.8261982213,2.7489746303
ompr__wt_nacl__2,-5.8391876636,3.0094103429
ompr__bw_delompr_nacl__1,11.7307239073,1.7446641096
ompr__bw_delompr_nacl__2,11.2205859535,1.9895249565
minspan__wt_ade__1,1.4564046633,6.892786798
minspan__wt_glc__1,21.5046244225,6.9748991491000005
minspan__wt_glc__2,20.0153710189,7.380660428
minspan__wt_glc__3,21.3276911164,7.6815697038
minspan__wt_glc__4,21.9303613065,7.5063916206
minspan__wt_glc_anaero__1,24.21366668,7.467645352
minspan__wt_glc_anaero__2,24.0511305379,7.1976733064
minspan__wt_trp__1,18.2387992401,7.9306301717
minspan__bw_delcra_glc__1,1.851173502,6.602600989
minspan__bw_delcra_glc__2,2.0402610968,6.5802957541
minspan__bw_delcra_trp__1,2.9845981056,7.0063216921
minspan__bw_delmntr__1,30.6996934534,8.2942441792
minspan__bw_delnac_ade__1,7.3206657074,6.6975562359000005
minspan__bw_delnac_glc__1,19.5032925914,7.2407739968
cra_crp__wt_ac__1,5.4055299181,5.4427700715
cra_crp__wt_ac__2,5.8632875958,5.6249024289000005
cra_crp__wt_fru__1,10.0485340768,5.5547961415
cra_crp__wt_fru__2,9.9211857667,5.8275511488
cra_crp__delcra_ac__1,-3.8174800273000002,4.6963264882
cra_crp__delcra_ac__2,-3.784712646,5.1628186878
cra_crp__delcra_fru__1,-5.483119437,4.0616971443
cra_crp__delcra_fru__2,-4.9636612283,3.925858015
cra_crp__delcra_glc__1,-1.7293139231999999,4.3402136097
cra_crp__delcra_glc__2,-1.8479649672,4.6743911919
rpoB__wt_031__1,-1.3473490502,5.6318457105
rpoB__wt_044__1,-5.6559443955,5.2187776443
rpoB__wt_lb__1,-6.9919431572,2.3246287858
rpoB__wt_lb__2,-6.3855631748,3.9110206044
rpoB__rpoBE546V_031__1,-4.0076618632,4.773413641
rpoB__rpoBE546V_044__1,-5.7410775079,5.7778631542
rpoB__rpoBE546V_lb__1,-8.8385095175,3.078073422
rpoB__rpoBE546V_lb__2,-7.1837646498,3.9673533997
rpoB__rpoBE546V_glc__1,-9.441828278300001,5.1617271338
rpoB__rpoBE672K_glc__1,-7.4717744789000005,3.4132522904
rpoB__rpoBE672K_glc__2,-6.8738789485,3.1654642702
rpoB__rpoBE672K_lb__1,-5.9819905864,3.4028766288
rpoB__rpoBE672K_lb__2,-5.5367248374999996,4.1056404914
crp__wt_fru__1,17.15893579,5.6189073342
crp__wt_glyc__1,23.0847204657,6.2553240369
crp__wt_glyc__2,23.2099829263,6.3477954953
crp__delar1_glyc__1,-8.262607359,3.0250892687
crp__delar1_glyc__2,-6.2494825034,1.8845608998
