,A,FecI,PdhR,HypT,Nac,Crp,Fur
R2,,0.2903430716230496,0.02959682308185263,0.022350952763899423,0.010803239084471672,0.0037875912764053776,0.0027701676735587544
xmin,,-6.967691671000002,-7.947651277,-5.623604974,-4.725505623,-9.852476477,-9.893921886000001
xmid,,,-1.3048463764896454,,,,1.8064669358016527
xmax,,3.4831999471098545,2.4049609830000005,0.7980973777619118,8.132852124639204,1.6003325529999994,2.690967163999998
ystart,,-5.28097750596251,-0.9907814394177816,1.5155608853714588,0.2220808948761821,1.2088246309795379,-0.4532721575176639
yend,,3.0029381192390456,1.0550228381464097,-1.286469040042678,-2.139872744764178,-0.6754448224244984,1.726442739104722
control__wt_glc__1,-0.0021713673733642,-0.09023727900000013,-0.07620582400000052,-0.046360253999999664,-0.12201272600000035,0.012478645999999928,-0.05856442000000151
control__wt_glc__2,0.0021713673733754,0.09023727899999924,0.07620582400000052,0.046360253999999664,0.12201272599999945,-0.012478645999999928,0.05856441999999973
fur__wt_dpd__1,5.623889653965518,2.7307349159999994,0.388628516999999,-1.154529342,-1.6999142799999998,0.07757413100000042,-0.1957192190000008
fur__wt_dpd__2,5.346265946457367,2.765842927,0.5117209729999992,-1.3984844049999996,-1.938769955,-0.0906821709999992,-0.2143640890000018
fur__wt_fe__1,-0.572131390629092,-0.7815619730000014,-0.3930810890000007,-0.6778911069999998,0.5235308730000003,-0.030513672999999738,-0.1279276850000013
fur__wt_fe__2,-0.1683554548694955,-0.9681693780000016,-0.34930649499999955,-0.5761767869999996,0.25748753199999985,0.0581907200000007,-0.03605009300000184
fur__delfur_dpd__1,5.049763297823563,2.6679960099999995,0.4813537309999987,-1.179335525,-1.6025365280000001,-0.10598198399999957,-9.893921886000001
fur__delfur_dpd__2,4.830098762916318,2.3742566789999984,0.6873811950000004,-1.0954140579999994,-1.724549783,-0.22346684100000047,-9.018917862999999
fur__delfur_fe2__1,4.012661888101117,2.5533711309999987,-0.20407438199999994,-0.4330677309999995,-0.7173395530000004,0.4364299129999996,-9.893921886000001
fur__delfur_fe2__2,3.9744834381959673,2.585844678999999,-0.21128722100000008,-0.6619204079999994,-0.8082979190000001,0.36756339300000107,-9.893921886000001
acid__wt_ph5__1,0.1956346766471689,-0.15703518200000133,-0.29704539100000016,-0.8880807539999998,-0.7414509709999999,0.3455225730000002,-0.381853244000002
acid__wt_ph5__2,0.5146886314598045,-0.32185403300000104,-0.3119040880000004,-1.0456542659999997,-0.5250578890000002,0.34313646300000045,-0.42914538600000185
acid__delgadx_ph5__2,-0.7350250729463498,-0.7072279910000008,-0.3260838070000007,-0.753542618,-0.5473652200000005,0.3393877130000007,-0.3711784620000014
acid__delgadw_ph5__1,-0.6535522331046455,-2.0710919280000004,-0.34906235500000005,-0.8649484640000002,-0.6070672230000005,0.3838637929999997,-0.4529754160000011
acid__delgadw_ph5__2,-0.0901770686793367,-1.8358901670000012,-0.42781822900000055,-0.7619691309999999,-0.5113484609999999,0.3398617829999999,-0.393817588000001
acid__delgade_ph5__1,0.3481268911340024,-0.3644788520000004,-0.2605393180000002,-0.7836257529999999,-0.3920578079999997,0.432408723,-0.3531133380000018
acid__delgade_ph5__2,0.0235574868982474,-0.3520877849999993,-0.35429130099999995,-0.7767479450000003,-0.5747283149999998,0.4824361929999999,-0.3876910010000003
oxidative__wt_pq__1,0.6445015976306979,1.937785836,-0.4578373020000006,-1.1007582309999997,-1.44188698,0.17662370300000066,0.3589120039999987
oxidative__wt_pq__2,0.9203460379134876,2.1079444559999985,-0.4787508390000017,-1.0069574369999996,-1.4679998530000002,0.24038529300000103,0.4246056039999981
oxidative__deloxyr_pq__1,0.5331818402396283,1.6984600719999996,-0.7092171360000004,-0.7239574759999998,-1.541611591,0.5131550130000004,0.7270403439999988
oxidative__deloxyr_pq__2,1.0337129521072546,1.6406555249999997,-0.6351466580000018,-0.8542442670000003,-1.328150785,0.5363373029999998,0.6809726839999986
oxidative__delsoxr_pq__1,1.1999161286553468,2.34937465,-0.6996669610000001,-1.199642409,-2.395016924,0.3346725330000009,-0.46000364200000204
