,A,Fnr
R2,,0.2393711037101922
xmin,,-2.574525767
xmid,,
xmax,,2.044364118
ystart,,15.74822747606014
yend,,-12.15931866607122
control__wt_glc__1,-0.046525146,-0.052632
control__wt_glc__2,0.046525146,0.052632
fur__wt_dpd__1,2.9826923575,-0.22332754900000001
fur__wt_dpd__2,4.2158691792,-0.207263208
fur__wt_fe__1,-0.2824888176,-0.5591243690000001
fur__wt_fe__2,-0.0942387224,-0.518033721
fur__delfur_dpd__1,2.8243904749,-0.358693874
fur__delfur_dpd__2,2.9381918198,-0.349967695
fur__delfur_fe2__1,-2.1500649052,-0.27282969900000004
fur__delfur_fe2__2,-2.1596737059,-0.26540585
acid__wt_ph5__1,1.7292380662,-0.524846931
acid__wt_ph5__2,1.507326355,-0.539491976
acid__delgadx_ph5__2,2.8947717773,-0.480809823
acid__delgadw_ph5__1,1.9120883068999999,-0.5694477410000001
acid__delgadw_ph5__2,1.7727397356,-0.545782447
acid__delgade_ph5__1,1.4877322979,-0.49659595500000003
acid__delgade_ph5__2,1.4545404835,-0.5235996460000001
oxidative__wt_pq__1,1.4173824687,-0.277983604
oxidative__wt_pq__2,2.2900761309,-0.403604734
oxidative__deloxyr_pq__1,1.8015076169,-0.117314808
oxidative__deloxyr_pq__2,1.918123199,-0.052995724
oxidative__delsoxr_pq__1,0.823450668,-0.46957113400000006
oxidative__delsoxr_pq__2,0.7750899761000001,-0.475574296
oxidative__delsoxs_pq__1,1.8097589131,-0.138763319
oxidative__delsoxs_pq__2,1.5036482734,-0.142115652
nac_ntrc__wt_csn__1,2.2114355918,-0.158711963
nac_ntrc__wt_csn__2,2.7571866497,-0.20401648900000002
nac_ntrc__wt_cytd__1,1.9976383816,-0.22330206500000002
nac_ntrc__wt_cytd__2,1.4195439061,-0.148782092
nac_ntrc__wt_gln__1,2.7995085796,-0.133928986
nac_ntrc__wt_gln__2,2.6248946846,-0.07252378100000001
nac_ntrc__bw_delnac_csn__1,4.2282725178,-0.17298681200000002
nac_ntrc__bw_delnac_csn__2,4.7888174034,-0.207335707
nac_ntrc__bw_delnac_cytd__1,3.8207331918,-0.39908493100000003
nac_ntrc__bw_delnac_cytd__2,4.1393824085,-0.458070531
nac_ntrc__bw_delnac_gln__1,3.2845883445,-0.387752121
nac_ntrc__bw_delnac_gln__2,2.8332575550000003,-0.318289392
nac_ntrc__bw_delnac_nh4__1,0.26594607330000003,-0.40746298400000003
nac_ntrc__bw_delnac_nh4__2,0.09204888700000001,-0.431925496
misc__wt_no_te__1,-0.0034748103,-0.574722853
misc__wt_no_te__2,-0.6775500185000001,-0.434576408
misc__bw_delcbl__1,0.42955122160000003,-0.544797561
misc__bw_delcbl__2,0.1595365885,-0.510121476
misc__bw_delfabr__1,-0.4324350303,-0.54688357
misc__bw_delfabr__2,-0.6060950133,-0.5969020620000001
misc__bw_delfadr__1,-0.4506884292,-0.631839469
misc__bw_delfadr__2,-0.5877332337,-0.5991148660000001
misc__nitr_031__1,3.5214271339,-0.44621574300000005
omics__wt_glu__1,-0.1820319882,0.683629718
