,yafZ
Cr_1,-0.002841096704371891
Cr_2,0.0016777576700674384
Cr_3,0.011892312751968084
Cr_4,0.01717632896416425
Cr_5,0.022036488085071755
Cr_6,0.019888652836998942
Fe_1,-0.03158305641877625
Fe_2,-0.08295502170889991
Fe_3,-0.12149266472859725
Fe_4,-0.17652830012617907
Fe_5,-0.2482382227295774
Fe_6,-0.08215829881583836
Cd_1,0.008463349671095924
Cd_2,0.008244671790977435
Cd_3,0.010394356223355824
Cd_4,0.011519180601513437
Cd_5,0.014457594159936396
Cd_6,0.012561086157769652
Zn_1,0.0027650021918338204
Zn_2,0.029944117521441882
Zn_3,0.07222539916641547
Zn_4,0.09246727963341428
Zn_5,0.1276582686174334
Zn_6,0.16349875145655576
Cu_1,0.0015200862609356179
Cu_2,-0.0008298796482534556
Cu_3,-0.002986080600485487
Cu_4,0.004298788937529603
Cu_5,0.012518386883231805
Cu_6,0.016438938838788858
Pb_1,-0.0020631022606939745
Pb_2,-0.0051332677485338395
Pb_3,-0.002407592437240565
Pb_4,0.010377458324740844
Pb_5,0.031080079810600705
Pb_6,0.03505701466654421
