,uvrA
Cr_1,0.005760299446261074
Cr_2,0.010192626775216658
Cr_3,0.009620620977920043
Cr_4,0.008722668441525352
Cr_5,0.00739531074135323
Cr_6,0.0055187819899297635
Fe_1,-0.0037288639508232476
Fe_2,-0.0024449020771503105
Fe_3,0.012267713585179354
Fe_4,0.02624155551741409
Fe_5,0.036640473382167964
Fe_6,0.045195972083586326
Cd_1,0.012653770112706618
Cd_2,0.021134832119883984
Cd_3,0.02806779563781498
Cd_4,0.032348697639478736
Cd_5,0.03143546026583801
Cd_6,0.038234079322004365
Zn_1,3.635064819859279e-05
Zn_2,0.005001515903102267
Zn_3,0.011220464488751131
Zn_4,0.0183855440701806
Zn_5,0.023399618801620232
Zn_6,0.029554569710304207
Cu_1,0.00015876072672375727
Cu_2,0.0014159613207004255
Cu_3,0.0052824158934969435
Cu_4,0.007909406383322697
Cu_5,0.011441821046334252
Cu_6,0.01694975399693095
Pb_1,0.0006330197477192541
Pb_2,0.002260122572103129
Pb_3,0.0031300440803069506
Pb_4,0.005186907624507118
Pb_5,0.00967961094256353
Pb_6,0.01171946944476552
