,idnT
Cr_1,-0.0005855509184860059
Cr_2,0.004272759985135797
Cr_3,0.006125637726889236
Cr_4,0.00779802920965931
Cr_5,0.004452038996761946
Cr_6,0.0047413167640060466
Fe_1,-0.004643982657858649
Fe_2,-0.011775458477631149
Fe_3,-0.0201376430422298
Fe_4,-0.02579735425924316
Fe_5,-0.019725710006811382
Fe_6,-0.020892716354669463
Cd_1,0.0012712915723073939
Cd_2,0.0017106927745082641
Cd_3,0.005047392267451951
Cd_4,0.006877787343627891
Cd_5,0.0055386405169239785
Cd_6,0.009235779020463623
Zn_1,-0.006269832762902267
Zn_2,0.0012554438068741794
Zn_3,0.013056326755927949
Zn_4,0.026145823550575032
Zn_5,0.03751192457821921
Zn_6,0.042611915861451764
Cu_1,-0.00018777146669045878
Cu_2,0.0023028251861816093
Cu_3,0.004805183267741521
Cu_4,0.003777191825429839
Cu_5,0.00846556953020082
Cu_6,0.011059980193939594
Pb_1,0.0014014624895451616
Pb_2,0.0016429362742664034
Pb_3,-0.0006118738108111282
Pb_4,0.006590391737087444
Pb_5,0.009560828568865223
Pb_6,0.002815446061427808
