,yicH
Cr_1,-0.002154441420710281
Cr_2,-0.0034983599043602893
Cr_3,-0.00344506449788573
Cr_4,-0.0051789496852276285
Cr_5,-0.005965580835492842
Cr_6,-0.010687840183643368
Fe_1,-0.008008761989159091
Fe_2,-0.02698892812444645
Fe_3,-0.045017136465315286
Fe_4,-0.058848126906520686
Fe_5,-0.0645231636476747
Fe_6,-0.058716196613025635
Cd_1,0.002624496828043772
Cd_2,0.007426183157894866
Cd_3,0.010089667483002971
Cd_4,0.014141939787386643
Cd_5,0.01240035076441972
Cd_6,0.018343187007801826
Zn_1,0.0037451001643092345
Zn_2,0.02070597665207161
Zn_3,0.05162321629394173
Zn_4,0.08727900635556991
Zn_5,0.11826925500096712
Zn_6,0.14638626128286486
Cu_1,0.0007623759045142195
Cu_2,0.00015409358304462205
Cu_3,3.755056135618976e-05
Cu_4,0.004921006406287004
Cu_5,0.01219356122639443
Cu_6,0.01938551851961361
Pb_1,0.009465263769554231
Pb_2,0.015053670719188929
Pb_3,0.019397065886095053
Pb_4,0.0207299976400672
Pb_5,0.02536427038782938
Pb_6,0.031007323442568662
