,mdtK
Cr_1,0.005573753607584016
Cr_2,-0.00031683914683607576
Cr_3,0.004479621587929539
Cr_4,0.011250437024982721
Cr_5,0.01965386984964366
Cr_6,0.01879653694495679
Fe_1,-0.01659009961458771
Fe_2,-0.04518434382111675
Fe_3,-0.07458303630739396
Fe_4,-0.12750065348440345
Fe_5,-0.16213309568972806
Fe_6,-0.1794554559529041
Cd_1,0.011531731551705277
Cd_2,0.021668164665860502
Cd_3,0.033866213892624834
Cd_4,0.040725245907654
Cd_5,0.042109484925562365
Cd_6,0.05108140403995793
Zn_1,-0.05282751836064279
Zn_2,-0.06389632789741136
Zn_3,-0.0784534068994996
Zn_4,-0.10138692150166076
Zn_5,-0.10596963368188286
Zn_6,-0.10999598754709496
Cu_1,0.004237393956229317
Cu_2,0.00774344308499993
Cu_3,0.01246740161334837
Cu_4,0.016462598721158652
Cu_5,0.02241233051543023
Cu_6,0.027546705120771443
Pb_1,0.009768105770353731
Pb_2,0.017212370247045233
Pb_3,0.030485198242248258
Pb_4,0.04435890747649828
Pb_5,0.05526268822542764
Pb_6,0.06634885172076323
