,rmuC
Cr_1,0.0022259564894331076
Cr_2,0.008117384995920351
Cr_3,0.017431347017860924
Cr_4,0.02928868426084608
Cr_5,0.03997357151989996
Cr_6,0.04865667929559348
Fe_1,-0.0024269697699081643
Fe_2,-0.006328744064997006
Fe_3,-0.014255050077896998
Fe_4,-0.03183255909687936
Fe_5,-0.040429218456236884
Fe_6,-0.04743753140764609
Cd_1,0.0012926965588462391
Cd_2,0.00593218366715874
Cd_3,0.009431950290806306
Cd_4,0.01294427308309812
Cd_5,0.0133651985766253
Cd_6,0.02043467737218557
Zn_1,0.0030414743505071604
Zn_2,0.007914118974589789
Zn_3,0.01836054883373817
Zn_4,0.02979746844122183
Zn_5,0.031656287225096565
Zn_6,0.03135054594021359
Cu_1,0.005055355873521228
Cu_2,0.010735501768679346
Cu_3,0.014143851742014674
Cu_4,0.01881483823608857
Cu_5,0.022126256646124828
Cu_6,0.03072201662103559
Pb_1,0.0037994499219583633
Pb_2,0.010602302783655485
Pb_3,0.016878413220351773
Pb_4,0.02594469492140072
Pb_5,0.03971258428014296
Pb_6,0.05208590055889183
