,yeeE
Cr_1,0.005743718135894629
Cr_2,0.04028410905579105
Cr_3,0.07981262676828751
Cr_4,0.10327597748588524
Cr_5,0.12433717055738056
Cr_6,0.14484816778410298
Fe_1,-0.0032129875751160963
Fe_2,0.02881960565157937
Fe_3,0.06916844317394351
Fe_4,0.0953965284525918
Fe_5,0.1247317472838856
Fe_6,0.15471585566972468
Cd_1,-0.003277369687215438
Cd_2,0.0057570832986899995
Cd_3,0.013519180015596596
Cd_4,0.01882541414769191
Cd_5,0.0212412321846704
Cd_6,0.023976829462664183
Zn_1,-0.012699693588720777
Zn_2,-0.011240826342917929
Zn_3,-0.002385175207319215
Zn_4,0.004520076623850233
Zn_5,0.012936950009376457
Zn_6,0.011409745205111848
Cu_1,0.00222936594341298
Cu_2,0.011744335961466262
Cu_3,0.02110739423087511
Cu_4,0.026714490878237657
Cu_5,0.03203868324850278
Cu_6,0.03754406908860667
Pb_1,-0.00814733534423183
Pb_2,0.0007449441110040179
Pb_3,0.016282100639014408
Pb_4,0.018326103176517963
Pb_5,0.018626336323627302
Pb_6,0.01575936450944639
