,fpr
Cr_1,-0.0025337225070971125
Cr_2,-0.007136258896885848
Cr_3,-0.009083242248034931
Cr_4,-0.01649471610525594
Cr_5,-0.024477745374693983
Cr_6,-0.030898211677257238
Fe_1,-0.012842701252340643
Fe_2,-0.03217438673732053
Fe_3,-0.05014294388500807
Fe_4,-0.06975643867174706
Fe_5,-0.08416653318538371
Fe_6,-0.09465641502050894
Cd_1,-0.0038067468728347617
Cd_2,-0.005775747094498958
Cd_3,-0.006123682320072713
Cd_4,-0.009991738208309323
Cd_5,-0.014988841866593763
Cd_6,-0.012667530308681773
Zn_1,-0.004801215952155631
Zn_2,-0.009599658770849964
Zn_3,-0.006630381995727579
Zn_4,-0.004889865067210849
Zn_5,-0.005746444055638289
Zn_6,-0.013049009229627616
Cu_1,0.005119506617065104
Cu_2,0.009599586077731849
Cu_3,0.014374321630719238
Cu_4,0.022226763570191058
Cu_5,0.03327472436748069
Cu_6,0.04374633658304407
Pb_1,0.005469708818303729
Pb_2,0.01465958317962097
Pb_3,0.023190227613573998
Pb_4,0.029174603344521974
Pb_5,0.0350175835807825
Pb_6,0.04266625022374143
