,folX
Cr_1,-0.010556642832179813
Cr_2,-0.010784438255665921
Cr_3,-0.007541583625262508
Cr_4,-0.004404166650208284
Cr_5,0.0005061920956394309
Cr_6,0.003865498562606251
Fe_1,-0.007631997046026477
Fe_2,-0.028626065710165263
Fe_3,-0.048384505852894014
Fe_4,-0.0767523361637628
Fe_5,-0.09699647554190008
Fe_6,-0.09992328350139552
Cd_1,0.0014687870821857372
Cd_2,0.0024625323946860025
Cd_3,0.006223833068075052
Cd_4,0.008019469719544226
Cd_5,0.0055774767637111035
Cd_6,0.0094148534799393
Zn_1,0.14293003659063944
Zn_2,0.4763413323249114
Zn_3,0.9688503610809496
Zn_4,2.4248304283002367
Zn_5,0.9751685948640308
Zn_6,0.576450019957345
Cu_1,0.0004950119922061283
Cu_2,0.004232795498299391
Cu_3,0.009930045608849986
Cu_4,0.013238436533630151
Cu_5,0.017396647573214723
Cu_6,0.026221185525449747
Pb_1,0.0019681433478840253
Pb_2,0.004501659866114412
Pb_3,0.009564052393314095
Pb_4,0.014182074030451353
Pb_5,0.02430797742143291
Pb_6,0.032766863476135916
