,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,-3.333333377838107e-11,0.08383141905421926,3.0,0.0,0.0706877769,1.0,-0.0926163554,2.0,0.021928578400000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-1.5360605072000002,0.7287118445875419,3.0,3.0,-2.0166534283,4.0,-1.8939227092,5.0,-0.6976053841000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-1.8912423815,0.06799381780398968,3.0,6.0,-1.9689898526,7.0,-1.8618374005,8.0,-1.8428998914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.761898547436144e-12,0.3619978579024941,21.0,9.0,0.11454443110000001,10.0,0.2078251163,11.0,-0.349296847,12.0,0.0662001331,13.0,0.2782077814,14.0,-0.0336521976,15.0,-0.1389811031,16.0,-0.1282038668,17.0,-0.1525246248,18.0,-1.0292621795,19.0,-0.8126121954000001,20.0,0.1663261868,21.0,0.25569763630000003,22.0,0.2996718048,23.0,0.3174002594,24.0,0.3575207586,25.0,0.3000562431,26.0,0.2169400585,27.0,-0.12218705590000001,28.0,0.0868062768,29.0,0.0995233838
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-2.8282876812000004,0.496419024004225,21.0,30.0,-3.2987823789,31.0,-2.947546413,32.0,-2.9776293957,33.0,-2.4851455205,34.0,-1.7543813350000002,35.0,-2.6789105463,36.0,-2.1418799914,37.0,-2.6953646769,38.0,-3.0334143738,39.0,-2.4428481179,40.0,-1.9217288734,41.0,-2.8169016417,42.0,-2.8241145960000003,43.0,-3.2921022353,44.0,-3.111386398,45.0,-2.7523798059,46.0,-3.9962178771,47.0,-3.0339562171,48.0,-3.0281219783,49.0,-3.055238121,50.0,-3.105990812
5,WT_vs_Del_ccpA__THY_None_WT_exponential,2.8912057932946783e-19,0.01756314556858872,3.0,51.0,0.0157136633,52.0,-0.0189597444,53.0,0.0032460811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.6416595439,0.32039446419799195,4.0,54.0,-1.0924729103,55.0,-0.6482753991,56.0,-0.418450876,57.0,-0.4074389902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-4.336808689942018e-19,0.026484334552629635,4.0,58.0,0.0301126819,59.0,-0.0336797636,60.0,0.007112603,61.0,-0.0035455213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,0.01026921745,0.057389111502537456,4.0,62.0,0.0902994694,63.0,-0.0311624504,64.0,0.013488591900000001,65.0,-0.0315487411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.035200506075000006,0.03518565856735364,4.0,66.0,-0.0585894318,67.0,0.0021805918000000002,68.0,-0.0711086393,69.0,-0.013284545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
