,rob
Cr_1,0.0006304023237751831
Cr_2,0.0013217967111273689
Cr_3,0.004680964510405841
Cr_4,0.006600554510523092
Cr_5,0.009605328500345164
Cr_6,0.011951082292225088
Fe_1,-0.0050428832098018345
Fe_2,-0.013056217304590544
Fe_3,-0.020844237453631724
Fe_4,-0.03053535026563812
Fe_5,-0.031527278749756936
Fe_6,-0.026201072532265345
Cd_1,0.00029788572489862513
Cd_2,0.0033286535021901558
Cd_3,0.00704695973941206
Cd_4,0.011431417453258545
Cd_5,0.01149348319145598
Cd_6,0.017369075178850932
Zn_1,-0.001883147197803548
Zn_2,-0.0010822434769552178
Zn_3,0.01229530504146598
Zn_4,0.02338839141578734
Zn_5,0.03683280701248432
Zn_6,0.048595430415420485
Cu_1,0.0008061592096312394
Cu_2,-5.04933616356812e-05
Cu_3,-0.0006490377122215629
Cu_4,-0.0009995936117148424
Cu_5,-4.204048373609224e-05
Cu_6,0.004917160912041061
Pb_1,0.008993479267586391
Pb_2,0.015227784980089469
Pb_3,0.02189059007016301
Pb_4,0.03343698518533829
Pb_5,0.04576809643118604
Pb_6,0.060012667683872485
