,ygcF
Cr_1,-0.0032250261615929822
Cr_2,-0.005446071336530937
Cr_3,-0.004109130817006318
Cr_4,-0.0017459534186701551
Cr_5,0.00031855801821942367
Cr_6,0.001374686276609226
Fe_1,-0.008420179654188526
Fe_2,-0.02273971160425621
Fe_3,-0.03614051208052485
Fe_4,-0.0468338659998364
Fe_5,-0.05291953778294127
Fe_6,-0.05293970031468522
Cd_1,-9.785895095633674e-05
Cd_2,-0.0007046976734036199
Cd_3,-0.0021803825127483605
Cd_4,-0.002095639202638945
Cd_5,-0.005647780290793806
Cd_6,-0.0007693828644854459
Zn_1,0.006674638370341623
Zn_2,0.01637003556628539
Zn_3,0.02504497916117356
Zn_4,0.03815977956635617
Zn_5,0.057326332464358434
Zn_6,0.07598159444794489
Cu_1,0.002507669386563375
Cu_2,0.0048902422247212715
Cu_3,0.008984404635749297
Cu_4,0.015858677256560073
Cu_5,0.02187521792973289
Cu_6,0.027006297098099208
Pb_1,0.00040249999011885
Pb_2,0.0056133304946605535
Pb_3,0.01399669657204492
Pb_4,0.01979900546871515
Pb_5,0.028918492085967487
Pb_6,0.03691074891328309
