,-0.07456782561681428,-0.049711883744542856,-0.024855941872271428,0.0,0.024855941872271428,0.049711883744542856,0.07456782561681428,0.09942376748908573,0.12427970936135714,0.14913565123362854,0.1739915931059,0.19884753497817143,0.22370347685044284,0.24855941872271425,0.2734153605949857,0.29827130246725714,0.32312724433952855,0.34798318621179997,0.3728391280840714,0.39769506995634285
thresh,-0.08699579655295,0.08699579655295,4,,,,,,,,,,,,,,,,,
unreg,1,14,326,3260,281,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
allR,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,2,0,0,0
fucR,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
araC,0,0,1,3,1,2,0,3,1,1,2,0,0,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
allR_genes,[],[],[],[],['allS'],[],['glxK' 'ybbY'],[],[],['ybbW'],['allA'],[],[],['allB'],['gcl'],[],['hyi' 'glxR'],[],[],[]
fucR_genes,[],[],[],[],['fucR'],[],['fucU'],['fucK' 'fucA' 'fucO' 'fucI' 'fucP'],[],[],[],[],[],[],[],[],[],[],[],[]
araC_genes,[],[],['xylB'],['ydeM' 'xylA' 'ydeN'],['araJ'],['ygeA' 'araC'],[],['araH' 'araG' 'araE'],['araF'],['araD'],['araA' 'araB'],[],[],[],[],[],[],[],[],[]
