,-0.07515776046153846,-0.06442093753846154,-0.05368411461538461,-0.04294729169230768,-0.032210468769230755,-0.021473645846153827,-0.0107368229230769,2.7755575615628914e-17,0.010736822923076955,0.021473645846153883,0.03221046876923081,0.04294729169230774,0.053684114615384665,0.06442093753846159,0.07515776046153852,0.08589458338461545,0.09663140630769237,0.1073682292307693,0.11810505215384623,0.12884187507692316
thresh,-0.069789349,0.069789349,12,,,,,,,,,,,,,,,,,
unreg,2,0,6,12,27,145,630,1447,594,127,15,1,0,0,0,0,0,0,0,0
AbrB,0,0,0,0,0,9,15,50,26,15,13,12,2,0,0,0,0,0,0,0
Rok,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0
ResD,0,1,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
SigA,0,0,2,3,15,52,201,434,212,47,9,1,1,3,0,0,0,0,0,0
AbrB and Rok,0,0,0,0,0,1,1,4,1,2,1,1,0,0,0,0,0,0,0,0
AbrB and ResD,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0
AbrB and SigA,0,0,1,0,5,6,14,42,15,5,1,1,0,0,0,0,0,0,0,0
ResD and SigA,0,0,0,2,0,1,5,5,3,5,0,0,0,0,0,0,0,0,0,0
"AbrB, ResD, and SigA",0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
"AbrB, Rok, and SigA",0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
"AbrB, Rok, ResD, and SigA",0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,2,1,0
unreg_genes,['bcaP' 'yuiA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
AbrB_genes,[],[],[],[],[],['ybaJ' 'tlpA' 'sivA' 'rocC' 'yxbD' 'ybfQ' 'bmrC' 'ycbF' 'yfmG'],"['bmrD' 'lip' 'spoVG' 'ycbE' 'yxbC' 'ycdA' 'ycbC' 'rocA' 'rocB' 'spoIIAA'
 'ycbD' 'ycbG' 'ydeJ' 'yscB' 'yddJ']","['yvrP' 'yfmI' 'mcpA' 'yqaP' 'bmrB' 'ydeH' 'yflD' 'bslA' 'yphE' 'ycbJ'
 'phy' 'slrR' 'yomJ' 'ybdO' 'yurI' 'yknX' 'rocG' 'dacF' 'yxeD' 'ycbH'
 'yqcG' 'rqcH' 'yvmC' 'spoIIAB' 'ymzB' 'cypX' 'yvrN' 'yknW' 'nprE' 'ctaO'
 'ybdN' 'ymaE' 'yphF' 'pbpH' 'yoaW' 'sigW' 'yvcB' 'yvrO' 'yvnA' 'xynD'
 'sigF' 'yokJ' 'yokK' 'yokI' 'yhaQ' 'yvzA' 'ywbE' 'yokL' 'yxzE' 'ywbF']","['ybfP' 'xynC' 'yocD' 'yflB' 'yqzG' 'rsiW' 'ylaE' 'yqcF' 'yvcA' 'yknY'
 'yknZ' 'yhaP' 'yolC' 'sivC' 'yjcM' 'rapK' 'ynzD' 'yobO' 'besA' 'yncM'
 'yolA' 'yolB' 'cwlS' 'ntdR' 'yorD' 'pspA']","['yjdG' 'yvqJ' 'yfmJ' 'ybfO' 'ydjH' 'bdhA' 'yflA' 'ydjI' 'ydjG' 'ylbA'
 'yrzI' 'phrK' 'pksC' 'yrpD' 'ahpT']","['ppsA' 'pnbA' 'yerI' 'yqxJ' 'pksN' 'ahpA' 'csn' 'pksR' 'yqxI' 'pksG'
 'pksI' 'yvgO' 'ywoF']","['ppsB' 'pksE' 'pksH' 'pksD' 'acpK' 'pksF' 'ppsC' 'yjdB' 'pksJ' 'yoqM'
 'pksM' 'ppsD']",['ppsE' 'pksL'],[],[],[],[],[],[],[]
Rok_genes,[],[],[],[],[],[],['yjcN' 'htpX'],['yybJ' 'yybK'],['yybL' 'yybN'],['yybM'],[],[],[],[],[],[],[],[],[],[]
ResD_genes,[],['ndh'],['yjlC'],[],[],[],[],['cydD' 'cydB' 'cydA' 'cydC'],[],[],['yclJ' 'yclK'],[],[],[],[],[],[],[],[],[]
