,A,ResD,AbrB,Rok,SigA
R2,,0.28814364288316163,0.24601508936895244,0.046494017589671754,0.03239577598886523
xmin,,-2.7869333333,-5.1769,-4.3092666667,-2.8581666667
xmid,,1.653663678892732,-2.0721896027416937,-1.5639515507591724,0.27213082563956226
xmax,,3.0485666667,2.0083,1.1662333333000001,1.3287333333
ystart,,-0.7029356676030041,6.124051599239278,3.7822867857012006,1.3247028228377178
yend,,20.828530648739093,-6.684574771606531,-2.8705598915097394,-5.556118378963657
LBexp_1,-7.7574799589,1.0316666667,0.7948000000000001,0.5128333333,0.4313333333
LBexp_2,-10.6561903812,1.1417666667,0.4606,0.3880333333,0.2070333333
LBexp_3,-9.6092641675,0.9888666667,0.3264,0.0018333333,0.0450333333
LBtran_1,-5.1683343283,0.9462666667,-0.7348,0.9721333333000001,0.09453333330000001
LBtran_2,-6.0708939488,1.7396666667,-0.0745,0.062433333300000005,0.2031333333
LBtran_3,-3.723075916,2.3140666667,-0.45780000000000004,0.1036333333,0.18983333330000002
LBstat_1,28.2328752574,2.8092666667,-2.1904,-1.2611666666999999,0.2544333333
LBstat_2,29.648274785799998,2.7337666667000002,-2.0722,-1.5639666667,0.33783333330000004
LBstat_3,29.8708155986,2.5789666667,-2.2662,-1.9769666667,0.2721333333
LBGexp_1,-9.8597823481,1.0475666667,0.7712,0.1620333333,0.6050333333
LBGexp_2,-10.7078803747,-0.14523333330000002,0.797,0.4092333333,0.4716333333
LBGexp_3,-9.8550581727,0.5199666667,1.1097,0.4097333333,0.7866333333000001
LBGtran_2,-11.2448904429,1.0902666667,-0.8738,-0.10906666670000001,0.1297333333
LBGtran_3,-11.2344845688,1.3325666667,-0.0146,0.6501333333,0.4393333333
LBGstat_1,0.1851294535,0.5052666667,-3.5777,-1.3308666667,0.4042333333
LBGstat_2,0.3532195581,-0.050533333300000004,-3.6385,-2.2663666667,-0.2733666667
LBGstat_3,0.3703555177,1.0350666667,-2.7126,-1.0616666667,-0.5597666667
S0_1,-1.1310244202,2.1754666667,1.698,-0.28246666670000004,0.3059333333
S0_2,-0.8050978798,2.2005666667,1.5099,-0.4985666667,0.0420333333
S0_3,0.2141298086,2.8330666667,1.8852000000000002,-0.2724666667,0.2446333333
S1_1,3.3792285984,0.3451666667,1.4567,0.9712333333000001,0.6412333333
S1_2,3.2587708629,0.43816666670000004,1.3363,0.8506333333,0.7176333333
S1_3,2.973553371,0.7596666667,1.3587,1.1662333333000001,0.5724333333
S2_1,14.7515003607,2.2370666667,-0.4988,0.7575333333000001,-1.3588666667
S2_2,11.6198631145,2.0128666667,-0.7447,0.6804333333,-1.2832666667
S2_3,15.8511505328,2.3261666667,-0.9626,0.9223333333,-1.5691666667000002
S3_1,3.2720005606,1.4219666667,-0.2619,0.0859333333,0.2958333333
S3_2,-0.5354102148000001,0.4108666667,-1.1104,0.14323333330000002,-0.5800666667000001
S4_1,-0.3696648793,0.5186666667000001,-1.19,-0.4299666667,-0.1741666667
S4_2,1.301895292,0.8271666667,-1.4998,-0.5896666667,0.1319333333
S4_3,0.5666192432,0.0481666667,-1.5569000000000002,-0.9166666667000001,0.0479333333
S5_1,0.7826124640000001,0.6151666667,-1.5016,-1.0515666667,0.45683333330000003
S5_2,-0.2580768833,0.8398666667,-1.5248,-0.5605666667,0.6503333333
S5_3,-0.103372195,1.1302666667,-1.1743999999999999,-0.5123666667,0.48193333330000004
S6_1,2.811824054,0.1052666667,-1.9984000000000002,-1.9962666667,0.6142333333000001
S6_2,-3.900535354,-1.9412333333,-4.7202,-3.8023666667000002,1.3135333333
S6_3,2.1670569647,0.5065666667000001,-1.6367,-1.9596666667,0.2292333333
S6/t_1,2.0728091963,-0.13313333330000002,-2.1378,-2.0293666667,0.5664333333
S6/t_2,-1.8530117471,-2.7869333333,-5.1769,-4.3092666667,0.6799333333
S6_4,0.058192776200000004,-0.0569333333,-3.0233,-2.3069666667,0.3513333333
S6_5,0.9491538007,0.7257666667,-2.5042999999999997,-2.1154666667,0.7257333333
S6_6,0.0757022596,0.5585666667,-2.3424,-2.0682666667,0.6137333333
S7_4,-0.4363360338,0.1839666667,-2.4318,-1.7673666667,0.3621333333
S7_5,0.7125930455,-0.0394333333,-2.7285,-1.3564666667,0.23643333330000002
S7_6,0.7864155684,0.39286666670000003,-2.6648,-1.4749666667,0.1780333333
S8_4,1.0221563959,0.1433666667,-2.9714,-1.9663666667,-0.3188666667
S8_5,-0.2835207537,-1.5527333333,-3.6661,-2.1465666667,0.2585333333
G135_1,-12.1056487535,1.8782666667,0.2674,0.33383333330000003,1.0403333333
G135_3,-7.9038098703,-0.6657333333000001,-0.6263000000000001,-1.2468666667,-0.5351666667
G150_1,-10.4888864575,1.1835666667,-0.5568000000000001,0.1948333333,0.060033333300000005
G150_2,-10.7345550989,1.4527666667,-0.1711,0.5553333333,0.8795333333
G150_3,-11.1426070264,1.5013666667,-0.44630000000000003,0.3255333333,0.7559333333
G180_1,-13.0085757105,0.8131666667,1.7185000000000001,0.6136333333,0.8065333333
G180_2,-14.4087864199,1.3491666667,2.0083,0.9455333333,1.1408333333
G180_3,-11.6296447718,0.060966666700000005,1.0097,-0.2267666667,0.0162333333
C30_1,3.0770781192,-0.8514333333,-0.29050000000000004,-2.3502666667,0.45133333330000003
C30_2,3.751994348,-0.5663333333,-0.1932,-2.2406666667,0.4866333333
C90_1,-2.1453583112,-0.5296333333000001,0.2096,-0.30016666670000003,0.4576333333
C90_2,-3.3973653544999998,-0.2365333333,0.23900000000000002,-0.1954666667,0.5262333333
BI_1,10.8411448457,2.1836666667,0.2948,-0.47996666670000004,0.5050333333
BI_2,10.4559780464,2.4190666667,0.5384,-0.1396666667,0.7180333333000001
BC_2,2.8605329841,1.5594666667000001,0.33080000000000004,0.7764333333000001,1.0966333333
BC/t_1,3.5180920465,1.1348666667,-0.0979,0.36603333330000004,0.9815333333
BC/t_2,2.3150208773,1.2644666667,0.2019,0.5670333333,1.0916333333
BC_1,3.2016894767,1.1981666667,-0.3467,0.3476333333,0.5115333333000001
Sw_1,-3.0931477348,0.7604666667000001,1.3793,-0.6939666667000001,1.0459333333
Sw_2,-1.3536157479,1.3834666667,1.0835,-0.3408666667,1.0478333333
