,upp
Cr_1,0.007000115426067373
Cr_2,0.014847043801547019
Cr_3,0.023537702089407333
Cr_4,0.027906551061062542
Cr_5,0.034240308250205916
Cr_6,0.042514284664364806
Fe_1,0.0034047560858410705
Fe_2,0.059635679190010824
Fe_3,0.13366278531816114
Fe_4,0.1928661874007845
Fe_5,0.24302127837349935
Fe_6,0.28842403823416063
Cd_1,0.00114915089625668
Cd_2,0.0050897589559261
Cd_3,0.013007193909337621
Cd_4,0.021638183671447386
Cd_5,0.026239790248103183
Cd_6,0.031259832407885234
Zn_1,-0.0011328764593180967
Zn_2,0.0037526520813759468
Zn_3,0.004112746105919547
Zn_4,-0.0019006150742375489
Zn_5,-0.017936598740523845
Zn_6,-0.03533583544601097
Cu_1,0.009323426116689792
Cu_2,0.02250441641443544
Cu_3,0.035855463829611925
Cu_4,0.04704243934581283
Cu_5,0.061284690927198925
Cu_6,0.07247241344191929
Pb_1,0.0075619244031705545
Pb_2,0.01896156172883863
Pb_3,0.01969989421965149
Pb_4,0.016189927137690272
Pb_5,0.018487793051921542
Pb_6,0.015980605245225002
