,lon
Cr_1,-0.006170338679325802
Cr_2,-0.007534529384019855
Cr_3,0.0035495181951085007
Cr_4,0.014710949835382875
Cr_5,0.031814200756081684
Cr_6,0.044890388805327947
Fe_1,-0.0064693876605875465
Fe_2,0.009211638416101169
Fe_3,0.04031477759893337
Fe_4,0.046859490530112284
Fe_5,0.06665086282851912
Fe_6,0.08449610147288353
Cd_1,0.0015190074199325743
Cd_2,0.011512489212038051
Cd_3,0.024817476335517896
Cd_4,0.03122671381184597
Cd_5,0.03236183903971776
Cd_6,0.04231152895199116
Zn_1,0.0044922327125488494
Zn_2,0.028107579691705714
Zn_3,0.038054549252640936
Zn_4,0.07711131532403953
Zn_5,0.0975630550880214
Zn_6,0.10620575720994416
Cu_1,0.0036328894676189018
Cu_2,0.0071467404329242906
Cu_3,0.009146570798620869
Cu_4,0.012271919311514915
Cu_5,0.0185229908998297
Cu_6,0.02357522689006927
Pb_1,-0.005801395028881751
Pb_2,-0.0008394590819239145
Pb_3,0.014682543226787125
Pb_4,0.025675440192595145
Pb_5,0.03325119913027694
Pb_6,0.04619149359708722
