,A,BirA
R2,,0.009883102881897643
xmin,,-3.2663141952
xmid,,
xmax,,4.778517764
ystart,,-2.5413979903666126
yend,,2.5332712346112025
SRX1125282,-0.3495416738,0.0363173169
SRX1125283,-0.1702722805,-0.0977049719
SRX1125284,-0.154992408,0.1690527801
SRX1125285,-0.1299437268,-0.1013297107
SRX1125286,0.3219271925,-0.11936161960000001
SRX1125287,1.9747682863,0.0065031298
SRX1125288,-0.243619245,-0.0154506409
SRX1125289,0.6795878973,-0.20313769710000001
SRX1125290,0.1265777883,0.2053023159
SRX1125291,0.18950554190000002,-0.2210415873
SRX1125292,0.9283267198,-0.1444653487
SRX1125293,0.8943322362,0.1669458252
SRX1125294,0.5931609188,-0.020866676
SRX1125295,0.16981002520000002,0.14237622830000002
SRX1125296,0.434645092,0.1578682417
SRX1125297,0.2445798394,-0.035610013600000004
SRX1125298,0.9514943959000001,0.11954642200000001
SRX1125299,1.4305104441,0.1048656859
SRX5694250,1.3299223747,0.3051368461
SRX5694251,-0.42451633850000003,-0.2521477912
SRX5694252,-0.060444745700000004,-0.7954272442
SRX5694253,0.7952854208,-0.3739907514
SRX5694254,0.8820722366,0.2010042406
SRX5694255,-1.2693214349,-2.1759858903
SRX5694256,6.5471530113,0.4513013301
SRX5694257,3.6299426224999998,0.2689177103
SRX5694258,2.8918624963,-0.3276100632
SRX5694259,-2.6135793806,0.0457344315
SRX5694260,-0.5736542074000001,0.3427398949
SRX5694261,9.0907231636,-0.5238219882
SRX5694262,-0.9830592936,0.20436117350000002
SRX5694263,-0.7511127076,0.1856323796
SRX5694264,0.2847137355,0.1508858173
SRX5694265,0.8348963211,0.0847438115
SRX5694267,0.7180626330000001,-0.2614760078
SRX5694268,1.6957411591,0.5126105435
SRX5694269,0.3319634782,-0.5510617371000001
SRX5694271,-2.033060624,-0.0443116309
SRX5694273,-1.7701673494999999,-1.0292058115
SRX5694274,-2.14432901,0.0598754349
SRX5694275,6.87475774,-1.3154789755
SRX5694276,-3.5798824814,-0.6146528196000001
SRX5694277,0.1298179781,0.6265201776
SRX5694278,-4.9520098280000004,-0.6249320032
SRX5694279,-1.5452720352,0.2264553225
SRX5694280,7.2930863775,-0.5264105720000001
SRX5694281,-0.2462168022,0.11509241890000001
SRX5694282,-2.0847736199,-0.1733371558
SRX5694283,5.1653290087,-0.0343097146
SRX5694284,4.7554111109,0.2823288926
SRX5694285,0.42494064530000003,-1.1542625176
SRX5694286,5.5350112905,-1.1136317011
SRX5694287,11.9739281458,0.2013935251
SRX5694288,0.2242941342,-0.2920262597
SRX5694289,2.6336641475,-0.6758784165
SRX5694290,0.6759675381,0.1667495725
SRX5694291,-0.6587623221000001,-1.7925434815
SRX5694292,-0.0741992014,0.3559311707
SRX5694293,-1.5973043228,-0.2690941355
SRX5694294,2.6062356741,0.2476491485
SRX5694295,4.137383153,-0.5197564364
SRX5694296,-0.6445035226,-0.2134915387
SRX5694297,1.128402329,0.6944325336
SRX5694298,2.1773792966,-0.5555836911
SRX5694299,1.5090895955999999,0.6403720193
SRX5694300,2.3404153342000003,0.1720949806
SRX5694301,-0.46804060300000006,0.0022293505
SRX5694302,-0.6501297052,0.3929501519
SRX5694303,-0.33793845840000003,0.6501080645
SRX5694304,3.7105657014,-0.0268091993
SRX5694305,-0.4478016949,-0.0561259787
SRX5694306,3.445479503,0.3487724519
SRX5694307,-3.0474637274,0.4430567094
SRX5694308,-2.0006886159,0.1836396173
SRX5694309,-3.9659757459,0.5536101265
SRX5694310,8.6250170986,-0.8781551094000001
SRX5694311,-3.4708666839,0.284514678
SRX5694312,-0.7628819797,-0.5205147912
SRX5694313,2.402608876,0.1954494077
SRX5694315,2.5267585666,-0.22465948130000002
SRX5694317,6.9704366522,0.0364479469
SRX5694319,-0.0029782543,-0.42773664440000003
SRX5694320,-1.2974884246,-0.8784495168
SRX5694321,5.1169040236,-0.35641688590000004
SRX5694322,-1.2378208795,-1.6178837301
SRX5694323,5.4621450265,-0.14271715340000002
SRX5694324,2.3601204746,-0.9395396184
SRX5694325,2.9758076677,-0.5849370667
SRX5694326,5.0183305075,0.4529667436
SRX5694327,7.2626492666,-0.4008552386
SRX5694328,-0.49253721650000004,-0.0186966184
SRX5694329,0.6841664547,0.10852675040000001
SRX5694330,4.9349499649,0.0471515312
SRX5694331,-1.9245609781000002,-0.4415088881
SRX5694332,2.8055524313999998,0.5133046695
