,-0.28218609088333335,-0.24898772725,-0.21578936361666667,-0.18259099998333334,-0.14939263635,-0.11619427271666666,-0.08299590908333332,-0.04979754544999998,-0.01659918181666664,0.016599181816666697,0.049797545450000036,0.08299590908333337,0.11619427271666671,0.14939263635000005,0.1825909999833334,0.21578936361666673,0.24898772725000007,0.28218609088333335,0.31538445451666675,0.34858281815000014
thresh,-0.09959509089999999,0.09959509089999999,1,,,,,,,,,,,,,,,,,
unreg,1,1,0,1,0,3,3,53,2017,2091,37,2,0,1,0,0,0,1,0,0
unreg_genes,['nemR'],['nemA'],[],['yqhD'],[],['gloA' 'sbp' 'dkgA'],[],[],[],[],[],[],[],['ptsG'],[],[],[],['tpiA'],[],[]
