,cspI
Cr_1,0.007556823918958816
Cr_2,0.00762864891948375
Cr_3,0.0011204858945460829
Cr_4,-0.004429484433441881
Cr_5,-0.004706556978168003
Cr_6,-0.01283384114624496
Fe_1,-0.01763493767735311
Fe_2,-0.058107431649178226
Fe_3,-0.11068363572490332
Fe_4,-0.16294944510549578
Fe_5,-0.20438979095512705
Fe_6,-0.2363293481751801
Cd_1,0.004718817408245717
Cd_2,0.01000772604770445
Cd_3,0.014884012529116876
Cd_4,0.017261773249301057
Cd_5,0.015448459491187729
Cd_6,0.023317391066315658
Zn_1,0.14699326214102235
Zn_2,0.2266934390385717
Zn_3,0.2920908650652685
Zn_4,0.3889531307424684
Zn_5,0.4625102700535656
Zn_6,0.7185322243774915
Cu_1,0.013207159274807371
Cu_2,0.02999307663016202
Cu_3,0.048281575673092256
Cu_4,0.06121441306637146
Cu_5,0.07147189572879219
Cu_6,0.08455165404328943
Pb_1,0.0059743682575441074
Pb_2,0.009884673624305873
Pb_3,0.018770314395761267
Pb_4,0.02628834656111136
Pb_5,0.037605680195428544
Pb_6,0.05167143319047888
