,-0.12682408377203785,-0.1119036033282687,-0.09698312288449953,-0.08206264244073037,-0.06714216199696121,-0.052221681553192054,-0.03730120110942289,-0.022380720665653733,-0.007460240221884573,0.007460240221884573,0.022380720665653747,0.03730120110942292,0.05222168155319207,0.06714216199696121,0.08206264244073039,0.09698312288449956,0.11190360332826871,0.12682408377203785,0.141744564215807,0.1566650446595762
thresh,-0.05968192177507664,0.05968192177507664,3,,,,,,,,,,,,,,,,,
unreg,1,2,4,4,15,15,49,242,2415,2476,282,29,6,5,5,3,1,1,0,0
AmrZ,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0
AlgR,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,['PA0952'],['fimV' 'pilA'],['PA4616' 'PA4523' 'PA4683' 'PA3116'],['PA0951a' 'PA5033' 'PA0391' 'truA'],"['PA3762' 'PA2761' 'PA0027' 'PA0602' 'PA3091' 'PA0359' 'pctC' 'cbpA'
 'PA5139' 'PA3386' 'PA0028' 'PA2436' 'pilN' 'PA4365' 'pilM']",[],[],[],[],[],[],[],[],['pelE' 'PA3865a' 'pslI' 'pelB' 'pelA'],['pelC' 'PA2560' 'PA2441' 'PA0172' 'PA0169'],['PA2440' 'PA0171' 'PA4624'],['PA0170'],['PA4625'],[],[]
AmrZ_genes,[],[],[],[],[],[],[],[],[],[],[],[],['pslL' 'pslA' 'pslK' 'pslC'],['pslF' 'pslB' 'pslJ' 'pslG' 'pslD' 'pslE' 'pslH'],[],[],[],[],[],[]
AlgR_genes,[],[],[],[],['pilX' 'pilW' 'fimU' 'pilV'],['pilY1'],['pilY2'],[],[],[],[],[],[],[],[],[],[],[],[],[]
