,ycgJ
Cr_1,0.005466472347545814
Cr_2,0.007189085768367636
Cr_3,0.007043699724951114
Cr_4,0.01656119150166606
Cr_5,0.019261790500929802
Cr_6,0.019551988462652884
Fe_1,-0.03750806656025064
Fe_2,-0.0844292348464859
Fe_3,-0.13317874388961487
Fe_4,-0.18247176930426606
Fe_5,-0.2271946877618385
Fe_6,-0.2629500346704802
Cd_1,-0.0019889449776645195
Cd_2,-0.0027610990068467826
Cd_3,-0.002965537703294699
Cd_4,-0.003011292879644752
Cd_5,-0.008659108148123304
Cd_6,-0.0042289948120430845
Zn_1,-0.17657597888846382
Zn_2,-0.2329098551266009
Zn_3,-0.2591310785996085
Zn_4,-0.23748089509466
Zn_5,-0.2418541421372031
Zn_6,-0.21854903824097624
Cu_1,-0.007265738691827677
Cu_2,-0.012635843805505368
Cu_3,-0.014788233409776528
Cu_4,-0.012965716931580322
Cu_5,-0.017434659675706225
Cu_6,-0.01826264257594057
Pb_1,0.014405556291295281
Pb_2,0.02685778517063844
Pb_3,0.03804389840480416
Pb_4,0.05549637509072825
Pb_5,0.06858734501721835
Pb_6,0.0879478222862948
