,yebU
Cr_1,-0.020675965013518816
Cr_2,-0.041942779254123985
Cr_3,-0.04086394062351264
Cr_4,-0.05034315347420743
Cr_5,-0.05346038627902467
Cr_6,-0.04846846896395668
Fe_1,-0.03917924787703959
Fe_2,-0.0807149604707488
Fe_3,-0.12278711340847412
Fe_4,-0.15568303948568385
Fe_5,-0.16807435208923066
Fe_6,-0.17803530014781976
Cd_1,-0.0013485201270023006
Cd_2,-0.002700828144509124
Cd_3,-0.005409358595102388
Cd_4,-0.0040715278665180935
Cd_5,-0.0032198484899564487
Cd_6,0.0050403648682453145
Zn_1,-0.1115451874362755
Zn_2,-0.18427679127298466
Zn_3,-0.25579232784069605
Zn_4,-0.22621447757934346
Zn_5,-0.2509151957464851
Zn_6,-0.2621447902000907
Cu_1,0.0023442682713034364
Cu_2,0.0055135321254452035
Cu_3,0.010652015772356102
Cu_4,0.015080396357418884
Cu_5,0.02562963441303653
Cu_6,0.0390649357086724
Pb_1,0.008935382146846959
Pb_2,0.02027624967679952
Pb_3,0.03707512446007001
Pb_4,0.050596991229908315
Pb_5,0.061922958505558824
Pb_6,0.07388156407266316
