,lit
Cr_1,-0.0335512134757041
Cr_2,-0.04897059132435988
Cr_3,-0.057059588321917924
Cr_4,-0.06312440074302401
Cr_5,-0.07559773973901897
Cr_6,-0.08251439528076843
Fe_1,-0.06622396398306518
Fe_2,-0.11343220479339587
Fe_3,-0.1310384164884872
Fe_4,-0.10893526442194512
Fe_5,-0.07933291324117793
Fe_6,-0.07467443340076756
Cd_1,0.0003065831814780288
Cd_2,0.001993005463858001
Cd_3,-0.00024356664585492113
Cd_4,-0.00016838709647054142
Cd_5,0.0008502008071432755
Cd_6,-0.002251832032095694
Zn_1,-0.0019687065540826072
Zn_2,-0.008619100342652529
Zn_3,-0.008118023598643456
Zn_4,-0.005012257544592439
Zn_5,-0.002832358675987987
Zn_6,0.0011537953726026738
Cu_1,-0.0004187435240121409
Cu_2,0.003647719716573142
Cu_3,0.013280137590730424
Cu_4,0.02400259034758576
Cu_5,0.03188656388752602
Cu_6,0.043341158781241916
Pb_1,0.011921743070903823
Pb_2,0.015288256669177188
Pb_3,0.02976257977414924
Pb_4,0.0386460416007489
Pb_5,0.03786679559088744
Pb_6,0.04590208229465341
