,A,BluR
R2,,0.11974095911087346
xmin,,-2.341834865
xmid,,-0.6727519468787947
xmax,,2.090273946
ystart,,-0.20959398235249505
yend,,6.826122212280386
control__wt_glc__1,-0.0612946679,-0.096314704
control__wt_glc__2,0.0612946679,0.096314704
fur__wt_dpd__1,9.9039141521,0.24354418600000002
fur__wt_dpd__2,10.1439622623,0.167158005
fur__wt_fe__1,0.0592358984,-0.393772253
fur__wt_fe__2,0.4001603537,-0.32799683300000004
fur__delfur_dpd__1,7.3227150277,0.41412462200000005
fur__delfur_dpd__2,6.4008775705,0.271076675
fur__delfur_fe2__1,1.3350429097,-0.042149684
fur__delfur_fe2__2,1.5887725169,-0.13148164
acid__wt_ph5__1,1.6954766259,-0.203533023
acid__wt_ph5__2,1.8795863244,-0.190086831
acid__delgadx_ph5__2,1.7448977562999999,-0.33153659100000005
acid__delgadw_ph5__1,2.103381674,-0.116113372
acid__delgadw_ph5__2,2.1569590397,-0.22934711700000002
acid__delgade_ph5__1,1.9415544379,-0.18395026
acid__delgade_ph5__2,1.8859394707,-0.150415504
oxidative__wt_pq__1,5.1173397118,-0.182392185
oxidative__wt_pq__2,4.7998935389,-0.236524209
oxidative__deloxyr_pq__1,4.9749276771,-0.33326662
oxidative__deloxyr_pq__2,4.6872989795999995,-0.312930863
oxidative__delsoxr_pq__1,1.2836935673,-0.07088725800000001
oxidative__delsoxr_pq__2,1.8814488602,0.04278123
oxidative__delsoxs_pq__1,2.1451458762,0.38876116800000005
oxidative__delsoxs_pq__2,1.8644389986,0.408241169
nac_ntrc__wt_csn__1,4.5930941529,0.247569532
nac_ntrc__wt_csn__2,4.4899343257,0.22489825600000002
nac_ntrc__wt_cytd__1,2.2813208937000002,-0.15813601600000002
nac_ntrc__wt_cytd__2,2.0269320782,-0.25350866
nac_ntrc__wt_gln__1,1.3164396224,0.031826472
nac_ntrc__wt_gln__2,1.6372164242,-0.05892356
nac_ntrc__bw_delnac_csn__1,3.6090044998,0.625326872
nac_ntrc__bw_delnac_csn__2,0.5049771164,0.628020286
