,A,NanR
R2,,0.053858651546927816
xmin,,-2.180099528
xmid,,-0.14397928628561124
xmax,,1.6618271230000001
ystart,,0.09222358463854213
yend,,4.283529081728855
control__wt_glc__1,0.4100955464,0.0009553140000000001
control__wt_glc__2,-0.4100955464,-0.0009553140000000001
fur__wt_dpd__1,2.8233585509,0.101614195
fur__wt_dpd__2,2.7497429424,0.173718072
fur__wt_fe__1,-0.3101604792,-0.256974719
fur__wt_fe__2,0.3812685266,-0.328468443
fur__delfur_dpd__1,3.4120846371,0.126764088
fur__delfur_dpd__2,2.4933609516,0.045184999999999996
fur__delfur_fe2__1,0.8199147789000001,-0.05899197900000001
fur__delfur_fe2__2,0.9785202809,-0.22803620100000002
acid__wt_ph5__1,1.4978754654,0.006525368
acid__wt_ph5__2,1.4043704409,-0.08430154100000001
acid__delgadx_ph5__2,1.2385616784,0.205998871
acid__delgadw_ph5__1,1.300082803,-0.01681278
acid__delgadw_ph5__2,1.4914837456,-0.003402214
acid__delgade_ph5__1,2.2039394547,0.089234715
acid__delgade_ph5__2,2.3340753066,-0.027014331000000003
oxidative__wt_pq__1,4.2468538604,-0.039026659000000005
oxidative__wt_pq__2,4.7866717511,0.064669922
oxidative__deloxyr_pq__1,3.7684119351,0.727938277
oxidative__deloxyr_pq__2,3.5633555421,0.73853279
oxidative__delsoxr_pq__1,3.1873689818,0.09013617700000001
oxidative__delsoxr_pq__2,3.1648262143,-0.10123197
oxidative__delsoxs_pq__1,4.0133037867,0.27177265700000003
oxidative__delsoxs_pq__2,4.3148935226,0.22975889700000002
nac_ntrc__wt_csn__1,2.8488226013,0.22071458400000002
nac_ntrc__wt_csn__2,2.9132346455,0.136764455
nac_ntrc__wt_cytd__1,3.8769472074999998,-0.021034812
nac_ntrc__wt_cytd__2,3.2763970406,-0.093535959
nac_ntrc__wt_gln__1,5.021185722,0.009682265
nac_ntrc__wt_gln__2,4.4215106561,-0.034103368
nac_ntrc__bw_delnac_csn__1,2.1193842338,0.52926378
nac_ntrc__bw_delnac_csn__2,2.088910218,0.9157382860000001
nac_ntrc__bw_delnac_cytd__1,2.4826899194,0.211849053
nac_ntrc__bw_delnac_cytd__2,1.7433543864,0.08643513500000001
nac_ntrc__bw_delnac_gln__1,2.5495474846,0.094950937
nac_ntrc__bw_delnac_gln__2,2.5438381222,0.251763518
nac_ntrc__bw_delnac_nh4__1,-0.6239918826,-0.0061393490000000005
nac_ntrc__bw_delnac_nh4__2,0.0233821993,0.057400819000000006
misc__wt_no_te__1,3.3314360973,-0.091998641
misc__wt_no_te__2,1.7477309305,-0.022226763
misc__bw_delcbl__1,-0.9229599272000001,0.155729852
misc__bw_delcbl__2,-0.9695090942000001,0.17551338500000002
misc__bw_delfabr__1,-2.7006488674,0.015047386000000001
misc__bw_delfabr__2,-2.0206723739,-0.223072718
misc__bw_delfadr__1,0.2797296883,0.020641611
