,ompA
Cr_1,0.0012742174438596255
Cr_2,0.0021518269279515896
Cr_3,0.003231221844230838
Cr_4,0.005727995388030082
Cr_5,0.007588441980771448
Cr_6,0.0065505043523313355
Fe_1,0.004427206828147124
Fe_2,0.023738918277319436
Fe_3,0.021878913937063527
Fe_4,0.02969277005348625
Fe_5,0.0393206141031642
Fe_6,0.03709668229739575
Cd_1,0.0007253401297532142
Cd_2,0.0012355914899103238
Cd_3,0.0020431297213460847
Cd_4,0.0028696051374161673
Cd_5,0.003215541572985356
Cd_6,0.003968018291564255
Zn_1,-0.002596870769055311
Zn_2,0.0056177291694855394
Zn_3,0.02379171190711008
Zn_4,0.027612858484843083
Zn_5,0.040704708550038514
Zn_6,0.04601715792118317
Cu_1,-0.0021170513410598006
Cu_2,0.00019499641550075692
Cu_3,0.006815586788657597
Cu_4,0.006062645351773924
Cu_5,0.01046725853171784
Cu_6,0.014277185637601001
Pb_1,-0.001453945192479728
Pb_2,-0.0004987282105918996
Pb_3,0.0010881549853737986
Pb_4,0.002454403415789067
Pb_5,0.0024456518268864856
Pb_6,0.005104868513132579
