,ykgF
Cr_1,0.012245701412590406
Cr_2,0.01998797150610187
Cr_3,0.035740249728342784
Cr_4,0.056262771116118285
Cr_5,0.06042668605891376
Cr_6,0.04655699481691217
Fe_1,0.020807470976412508
Fe_2,-0.03810051723659511
Fe_3,-0.06404344858242321
Fe_4,-0.043363024839298984
Fe_5,-0.024830864541982904
Fe_6,-0.015203094328307574
Cd_1,0.002114014978351267
Cd_2,0.021092982391611653
Cd_3,0.029545591400578827
Cd_4,0.03021009026074284
Cd_5,0.026780083967022302
Cd_6,0.03311241623005521
Zn_1,0.002447325087554497
Zn_2,0.013337366236908151
Zn_3,0.016912198072544814
Zn_4,0.019586777029729458
Zn_5,0.020175577074823252
Zn_6,0.028039237388908983
Cu_1,0.00999673198993233
Cu_2,0.013250096147109244
Cu_3,0.014004579554951258
Cu_4,0.018638308960753875
Cu_5,0.03220238651769984
Cu_6,0.039872119148069034
Pb_1,-0.014690368817589847
Pb_2,-0.01763427060989595
Pb_3,-0.016333511999819025
Pb_4,-0.002438837138614294
Pb_5,0.016466503962244042
Pb_6,0.026195262545751302
