,ydjN
Cr_1,-0.0009788660293484084
Cr_2,0.012773556696243063
Cr_3,0.037967412274380434
Cr_4,0.06490632291327039
Cr_5,0.09897294491100747
Cr_6,0.11917332213852988
Fe_1,-0.005411646340927799
Fe_2,-0.017504586923409147
Fe_3,-0.010378458725425355
Fe_4,0.006591017163376677
Fe_5,0.028274970089672006
Fe_6,0.050404208956089325
Cd_1,0.002462077734961677
Cd_2,0.010500502297323992
Cd_3,0.02552289236569871
Cd_4,0.04320296189047885
Cd_5,0.05050007939110555
Cd_6,0.0657497163585497
Zn_1,0.04615212366678429
Zn_2,0.12558253746642933
Zn_3,0.21673649164821754
Zn_4,0.3196907536327409
Zn_5,0.4137807904012496
Zn_6,0.4872673581056456
Cu_1,0.013766309069169702
Cu_2,0.03174604262897325
Cu_3,0.03978319678851451
Cu_4,0.04953734296019749
Cu_5,0.058418360242209526
Cu_6,0.0683071831229678
Pb_1,0.0043285710091910574
Pb_2,0.018509335732864764
Pb_3,0.033030452905597966
Pb_4,0.0451929020844281
Pb_5,0.05645443950024617
Pb_6,0.0630401989804298
