,A,YhaJ
R2,,0.0071475739447721676
xmin,,-3.7736630224
xmid,,0.26310989689000813
xmax,,2.7177774085
ystart,,0.07293822886945633
yend,,1.8058666197700737
aat__00m_00s__1,0.6486744,-0.2052736597
aat__00m_30s__1,0.27648033710000003,-0.14333278160000001
aat__01m_00s__1,0.0327005551,0.0865703886
aat__02m_00s__1,-0.2267148424,-0.23747868100000002
aat__05m_00s__1,-0.7036197448,-0.2267241848
aat__10m_00s__1,-0.43501595190000003,-0.4626254258
aat__00m_00s__2,-0.9789823762000001,0.1841770238
aat__00m_30s__2,-0.7668288185000001,-0.2459504848
aat__01m_00s__2,-0.1373313984,-0.2688450419
aat__02m_00s__2,-0.4534715653,0.0017998175000000002
aat__05m_00s__2,-0.7706069037000001,0.16252612830000002
aat__10m_00s__2,-0.025825653,0.1660812682
aat__00m_00s__3,0.3303079762,0.0210966359
aat__00m_30s__3,0.1878629323,0.29035872830000004
aat__01m_00s__3,-0.5511980713,0.041223772000000006
aat__02m_00s__3,-0.42281079650000003,-0.12822491700000002
aat__05m_00s__3,-0.2647330442,-0.24095685960000002
aat__10m_00s__3,0.0328817426,-0.0701029306
abx_mega__dmso-2__1,1.3743991279,0.1155015866
abx_mega__ery_dmso__1,1.3633333889,-0.9382754740000001
abx_mega__nal_naoh__1,2.6080184540999998,-0.7661623516
abx_mega__dmso-5__1,1.0016518513,-0.42920233620000003
abx_mega__rif_dmso__1,0.939334568,-0.7184979676000001
abx_mega__novo_h2o__1,-2.7879005783,-2.7830877212000003
abx_mega__rach_dmso__1,0.6495693518,0.2893103922
abx_mega__metro_dmso__1,5.0309889635,0.023501354000000002
abx_mega__dmso-6__1,2.2362618906,-0.1403087604
abx_mega__chl_h2o__1,-2.7188655321,-0.6938900619
abx_mega__cst_h2o__1,-0.2690492977,0.165370489
abx_mega__tec_h2o__1,5.5073732435,1.3982378155
abx_mega__str_h2o__1,-0.833135552,-0.6354758577
abx_mega__ctx_h2o__1,1.8097892618,0.0019137868
abx_mega__nal_naoh__2,0.9197212011,-0.4353008786
abx_mega__phos_h2o__1,-1.1116169358,0.2985857619
abx_mega__dmso-5__2,0.7005508212,0.0234102583
abx_mega__polmyx_h2o__1,-0.5288282005,0.554424543
abx_mega__h2o-8b__1,0.7721440287,-0.13823094190000002
abx_mega__h2o-6__1,0.5096455195,-0.2787048237
abx_mega__thio_dmso__1,-1.3498423738,-1.6357753803000001
abx_mega__phos_h2o__2,-0.3751905304,-0.0732161502
abx_mega__ctx_h2o__2,0.20914124,-0.7108584003
abx_mega__lzd_dmso__1,0.2056447123,-1.0481149409
abx_mega__naoh-9__1,-0.07692777220000001,0.3782840169
abx_mega__dox_dmso__1,0.7402873600000001,-0.5237909365
abx_mega__phos_ethanol__1,-0.9095601484,-0.0898741502
abx_mega__teix_dmso__1,1.9617764798000001,0.22798276990000002
abx_mega__dmso-10__1,0.8829836688,-0.1169474068
abx_mega__van_dmso__1,3.1136948801,0.1577625084
abx_mega__ramo_h2o__1,0.4615779155,0.7328021606
abx_mega__tec_h2o__2,2.3724974997,1.2596151745
abx_mega__h2o-7__1,-1.1944857619,-0.6075886904000001
abx_mega__cro_h2o__1,1.8591654079,-0.5200870355
abx_mega__tric_ethanol__1,0.5544249057,0.8366151966
abx_mega__nor_naoh__1,0.8843356413000001,-0.7180847126000001
abx_mega__teix_dmso__2,1.107490042,-0.4723613219
abx_mega__nal_naoh__3,1.0031948955,-0.6963077328
abx_mega__novo_h2o__2,-2.451341727,-3.1048490362
abx_mega__dmso-10__2,1.1145717668,0.1019677571
abx_mega__phos_h2o__3,0.276117428,-0.3263414818
abx_mega__dmso-6__2,0.9754726680000001,-0.029458174700000003
abx_mega__rfp_ethanol__1,-6.8497563115,0.3829244491
abx_mega__dmso-5__3,0.8130904772,-0.5984226115
abx_mega__amyc-d_dmso__1,1.4847752367,0.2431402919
abx_mega__sxt_dmso__1,-1.9892115469,-0.3868405911
abx_mega__dmso-1__1,0.4613962574,0.0655442873
abx_mega__pen_h2o__1,1.959048233,-0.3697225442
abx_mega__dmso-10__3,-0.15502569400000002,0.0619846472
abx_mega__nal_naoh__4,1.50582394,0.1944031693
abx_mega__cip_naoh__1,1.1108722544,0.05458266
abx_mega__pen_h2o__2,4.3133119823,-0.2238845391
abx_mega__ery_dmso__2,-0.850074524,-0.5320838195
abx_mega__dmso-2__2,1.4695711316,0.3031348212
abx_mega__van_dmso__2,2.766710323,0.6328413387
abx_mega__h2o-1b__1,1.143608847,-0.3138421641
abx_mega__ery_h2o__1,0.1085013632,-0.9977983471
abx_mega__bacit_h2o__1,0.1396724138,0.5485577159
abx_mega__chl_h2o__2,-1.6766162679,-0.3626786099
abx_mega__str_h2o__2,-1.0216370011,-0.27684497280000003
abx_mega__rfp_ethanol__2,-2.9211566011,0.1131071389
abx_mega__polmyx_h2o__2,1.0929404835,0.0306455536
abx_mega__tric_h2o__1,-0.810123679,0.48677174710000004
abx_mega__cip_naoh__2,1.3027681668,-1.0551589773
abx_mega__novo_h2o__3,-2.7294983761,-2.8609354738
abx_mega__bacit_dmso__1,1.572898026,0.0403359062
abx_mega__gen_h2o__1,1.1338858969,1.1674515799
abx_mega__bacit_dmso__2,1.5007672855,0.5702975085
abx_mega__chl_dmso__1,2.3121137581,0.34292853570000004
abx_mega__bacit_h2o__2,1.8297629625,0.6592360620000001
abx_mega__lvx_dmso__1,1.4435418761,0.2545044563
abx_mega__bacit_h2o__3,0.7751925408,0.6728030786
abx_mega__nor_naoh__2,0.7586088281000001,-0.4852442938
abx_mega__amyc-d_dmso__2,0.5440497922,-0.069493926
abx_mega__polmyx_h2o__3,6.9575113099,0.2171780687
abx_mega__naoh-6__1,-0.2335008438,-0.4389003084
abx_mega__cst_h2o__2,2.9175513153,0.0759438303
abx_mega__h2o-1b__2,2.4147546607,0.06993239870000001
abx_mega__rfp_h2o__1,-0.8491223614000001,-0.0217028495
abx_mega__tet_h2o__1,-0.23062607200000002,-0.26418819990000003
abx_mega__flavo_dmso__1,2.1301792342,0.1396928164
abx_mega__zeocin_h2o__1,-0.8876022405,-0.18422630110000002
abx_mega__nor_naoh__3,1.2954933139,-1.1891583932
abx_mega__rach_dmso__2,1.6376838894999999,-0.5425579023
abx_mega__thio_dmso__2,0.0596611035,-0.1448768141
abx_mega__amyc-d_dmso__3,1.1012054464,-0.09725796440000001
abx_mega__rif_dmso__2,0.9143702459,0.1394108167
abx_mega__amyc-d_dmso__4,0.5248170271,-0.8920068293000001
abx_mega__teix_dmso__3,0.0523459805,-0.0540487999
abx_mega__valin_dmso__1,3.2381928556,0.7939487928000001
abx_mega__teix_dmso__4,0.5676198025,-0.4325702233
abx_mega__ethanol-10__1,-0.9389673369,-0.6703237740000001
abx_mega__inh_h2o__1,-0.8489667214000001,-1.2326551957
abx_mega__rif_dmso__3,0.6182584798,-0.3386050833
abx_mega__van_dmso__3,1.6473057993,-0.1612733535
abx_mega__doxo_dmso__1,-1.8947209862,-2.3284933932
abx_mega__tmp_dmso__1,2.0182482606,-0.8510582943
abx_mega__ethanol-10__2,-1.7846478051,-1.0004083329
abx_mega__tmp_dmso__2,2.0840983408,-0.8628555315
abx_mega__amyc-d_dmso__5,0.4100299658,-0.0350693772
abx_mega__novo_h2o__4,-3.3448835111,-1.8125078165000001
abx_mega__cro_h2o__2,0.6800731583,-0.5031617845
abx_mega__cro_h2o__3,0.8301947653,0.056570503300000005
abx_mega__gen_h2o__2,5.260975936,1.4194470347
abx_mega__phos_h2o__4,1.5900941868,0.22822347310000002
abx_mega__metro_dmso__2,5.1349847833,-0.1714514205
abx_mega__ery_h2o__2,2.5184720881000002,-0.5380816024
abx_mega__sacet_h2o__1,-0.5606109713,-0.15612458910000002
abx_mega__nal_naoh__5,1.4512399277,-1.1712348684
abx_mega__bacit_h2o__4,2.7094677758,0.9094509736
abx_mega__cip_naoh__3,1.3989919711,0.1268766894
abx_mega__ethanol-8__1,-1.979352052,-0.2599322592
abx_mega__h2o-8a__1,2.3210532231,0.12667063180000002
abx_mega__ery_h2o__3,-0.730181462,-0.9931227657
abx_mega__flavo_dmso__2,0.0041252722,-0.5090169481
abx_mega__rif_dmso__4,0.9974145685,0.0982170904
abx_mega__novo_h2o__5,-2.7107013953,-3.1467875063
abx_mega__teix_dmso__5,0.2138645959,-0.0962023853
abx_mega__naoh-2__1,1.462571458,-0.35025021370000003
abx_mega__novo_h2o__6,-0.5062637007,-2.1894706132
abx_mega__ctx_h2o__3,-0.5522661569,-0.4148441819
abx_mega__rach_dmso__3,1.7508984366,-0.0367564403
abx_mega__valin_dmso__2,3.3195355628,0.7107071633
