,yraL
Cr_1,-0.0037398744454817186
Cr_2,-0.01325127767320032
Cr_3,-0.02240967281956713
Cr_4,-0.031066431982612577
Cr_5,-0.042043886700312026
Cr_6,-0.04687389888314415
Fe_1,-0.03280352588998727
Fe_2,-0.05312886580228432
Fe_3,-0.0316128380581328
Fe_4,0.03165420043928395
Fe_5,0.0328764503907233
Fe_6,0.01713428907188622
Cd_1,0.0007620955287467907
Cd_2,0.009125539494908005
Cd_3,0.01212781769636314
Cd_4,0.0120250857291544
Cd_5,0.011192476749360705
Cd_6,0.017508425105456537
Zn_1,-0.07185324386781825
Zn_2,-0.10525279260519348
Zn_3,-0.08349853211293967
Zn_4,-0.05540940682444891
Zn_5,-0.0415786545418092
Zn_6,-0.0138325695437989
Cu_1,0.007906156136847028
Cu_2,0.01494942987352165
Cu_3,0.021398504567159943
Cu_4,0.02223744007167785
Cu_5,0.020442371590346474
Cu_6,0.025796530894586115
Pb_1,-6.858541028942771e-05
Pb_2,0.0069069866896824365
Pb_3,0.021673002015596108
Pb_4,0.032312773257049184
Pb_5,0.04192553618735567
Pb_6,0.061057757905008475
