locus,gene_weight,gene_name,gene_product,cog,regulator,link
STM2899,0.3663941087,invF,invasion protein,Transcription,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2899
STM1091,0.2875644633,sopB,Pathogenicity island encoded protein: SPI5,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1091
STM2886,0.2633974872,sicA,surface presentation of antigens,Transcription,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2886
STM1855,0.2612076014,sopE2,TypeIII-secreted protein effector: invasion-associated protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1855
STM2885,0.2591601303,sipB,cell invasion protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2885
STM1090,0.2468154318,pipC,Pathogenicity island encoded protein: SPI5,"Post-translational modification, protein turnover,and chaperones",,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1090
STM2884,0.245817467,sipC,cell invasion protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2884
STM2883,0.2424636544,sipD,cell invasion protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2883
STM2882,0.21476303730000001,sipA,cell invasion protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2882
STM2881,0.1814616373,iacP,putative acyl carrier protein,Lipid transport and metabolism,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2881
STM2066,0.1703561566,sopA,secreted effector protein of Salmonella,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2066
STM1239,0.1395921008,STM1239,putative cytoplasmic protein,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1239
STM2878,0.1269148237,sptP,protein tyrosine phosphate,Signal transduction mechanisms,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2878
STM2879,0.1262834234,sicP,chaparone related to virulence,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2879
STM1088,0.1054588384,pipB,Pathogenicity island encoded protein: SPI5,Function unknown,,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1088
