sample,BSU_misc_RNA_56
LBexp_1,11.2587
LBexp_2,11.3252
LBexp_3,10.9578
LBtran_1,10.5458
LBtran_2,10.6914
LBtran_3,10.3102
LBstat_1,11.2997
LBstat_2,11.0163
LBstat_3,10.6626
LBGexp_1,11.6268
LBGexp_2,10.5998
LBGexp_3,11.1357
LBGtran_2,9.9462
LBGtran_3,11.1206
LBGstat_1,9.333
LBGstat_2,9.1089
LBGstat_3,9.4818
S0_1,11.7538
S0_2,11.643
S0_3,11.9844
S1_1,12.5596
S1_2,12.2794
S1_3,12.2637
S2_1,10.9754
S2_2,10.7218
S2_3,10.8756
S3_1,10.9252
S3_2,11.1612
S4_1,10.3959
S4_2,10.2479
S4_3,9.8715
S5_1,9.665
S5_2,9.9606
S5_3,9.8929
S6_1,9.3903
S6_2,9.0436
S6_3,9.612
S6/t_1,9.7115
S6/t_2,8.8392
S6_4,10.2539
S6_5,10.3409
S6_6,10.5569
S7_4,11.3512
S7_5,10.9741
S7_6,10.8818
S8_4,11.015999999999998
S8_5,10.4471
G135_1,10.9459
G135_3,9.8144
G150_1,10.5171
G150_2,11.3044
G150_3,11.1121
G180_1,11.0503
G180_2,11.4615
G180_3,10.7645
C30_1,12.4222
C30_2,12.8698
C90_1,13.4758
C90_2,13.4341
BI_1,12.1316
BI_2,12.0875
BC_2,11.563
BC/t_1,11.9998
BC/t_2,12.1132
BC_1,11.4527
Sw_1,11.7214
Sw_2,11.3742
BT_1,10.8137
BT_2,10.6163
B36_1,11.6715
B36_2,11.356
B60_1,11.5404
B60_2,11.8646
M9exp_1,12.9152
M9exp_2,12.5528
M9exp_3,12.2332
M9tran_1,11.6331
M9tran_2,11.9272
M9tran_3,12.0909
M9stat_1,9.8334
M9stat_2,9.6321
M9stat_3,9.2511
M+G_1,12.0309
M+G_2,12.5111
M+G_3,12.4347
Glu_1,13.1488
Glu_2,12.9296
Glu_3,12.9531
Fru_1,12.5396
Fru_2,12.6596
Fru_3,12.1518
Mal_1,11.4201
Mal_2,12.3008
Mal_3,12.0647
G+S_2,11.628
G+S_3,11.8421
Pyr_1,11.0215
Pyr_2,12.1072
Pyr_3,11.9713
Gly_1,11.7078
Gly_2,12.3659
Gly_3,11.2543
Glucon_1,11.8761
Glucon_2,12.199000000000002
Glucon_3,10.6201
aero_1,13.0277
aero_2,11.2974
aero_3,12.4824
nit_1,12.3102
nit_2,12.6204
nit_3,11.9653
ferm_1,11.5595
ferm_2,11.2759
ferm_3,11.7965
T-5.40H_1,12.6967
T-4.40H_1,12.5371
T-3.40H_1,12.436
T-2.40H_1,12.0938
T-1.40H_1,11.9413
T-1.10H_1,12.1328
T-0.40H_1,12.1959
T0.0H_1,11.7513
T0.30H_1,9.8159
T1.0H_1,9.8478
T1.30H_1,10.0144
T2.0H_1,9.2773
T2.30H_1,10.0275
T3.0H_1,9.8413
T3.30H_1,10.1134
T4.0H_1,10.1562
T5.0H_1,9.7416
HPh_1,13.4756
HPh_2,13.2076
HPh_3,13.5767
LPh_1,13.3204
LPh_2,13.4788
LPh_3,13.0225
LPhT_1,11.9988
LPhT_2,11.8937
LPhT_3,11.7299
SMMPr_1,11.7369
SMMPr_2,11.7649
SMMPr_3,11.9987
HiTm_1,11.3493
HiTm_2,12.1238
HiTm_3,12.9975
LoTm_1,11.5669
LoTm_2,11.4542
LoTm_3,11.1814
HiOs_1,12.26
HiOs_2,12.1469
HiOs_3,12.0596
BMM_1,12.996
BMM_2,12.6328
BMM_3,12.4528
Heat_1,12.689
Heat_2,12.595
Heat_3,12.424
Cold_1,12.7915
Cold_2,11.8101
Cold_3,11.4173
Etha_1,11.4989
Etha_2,11.4619
Etha_3,11.4858
SMM_1,12.406
SMM_2,12.3533
SMM_3,12.4353
Salt_1,11.1637
Salt_2,10.8447
Salt_3,11.0598
Mt0_1,11.1568
Mt0_3,10.9864
M0t45_1,12.1089
M0t45_2,11.8314
M0t45_3,11.3799
M0t90_1,10.6345
M0t90_2,10.9726
M0t90_3,10.8164
M40t45_1,11.2105
M40t45_2,10.8035
M40t45_3,11.7289
M40t90_1,10.5258
M40t90_2,10.8408
M40t90_3,10.9388
dia0_1,10.8601
dia0_2,11.1232
dia0_3,11.757
dia5_1,9.9267
dia5_2,10.7965
dia5_3,11.3013
dia15_1,11.0932
dia15_2,11.4513
dia15_3,10.0981
Diami_1,12.0176
Diami_2,11.9997
Diami_3,12.049
Paraq_1,12.1802
Paraq_2,12.4459
Paraq_3,10.628
H2O2_1,11.1144
H2O2_2,11.6208
H2O2_3,10.9263
Oxctl_1,11.957
Oxctl_2,11.7431
Oxctl_3,12.1741
GM-0.1_1,11.8509
GM-0.2_1,12.4617
GM+5_1,12.5622
GM+15_1,12.6072
GM+25_1,13.4303
GM+45_1,13.2994
GM+60_1,13.1884
GM+90_1,12.8755
GM+120_1,12.2971
GM+150_1,12.7073
GM-0.1_2,13.062
