locus,gene_weight,gene_name,gene_product,COG,operon,regulator,DsdC,link
b2365,0.5149122278,dsdX,D-serine transporter,Inorganic ion transport and metabolism,dsdXA,"RpoD,Crp,DsdC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10250
b2366,0.40788881180000003,dsdA,D-serine ammonia-lyase,Amino acid transport and metabolism,dsdXA,"RpoD,Crp,DsdC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10249
b2364,0.1570600685,dsdC,DNA-binding transcriptional dual regulator DsdC,Transcription,dsdC,"RpoD,NsrR,DsdC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG13161
