,A,DsdC
R2,,0.3662115120804773
xmin,,-5.447729695
xmid,,
xmax,,4.1848432436
ystart,,-7.868785345465973
yend,,5.293695413965545
aat__00m_00s__1,-0.4109777365,0.3577353934
aat__00m_30s__1,-0.8942896598000001,0.0126417917
aat__01m_00s__1,-0.4768090894,0.025250397100000002
aat__02m_00s__1,0.05664904,0.055256901000000004
aat__05m_00s__1,-0.48610834680000004,-0.06606431310000001
aat__10m_00s__1,0.9672118324000001,0.058447786300000006
aat__00m_00s__2,0.3456776291,-0.38982106320000004
aat__00m_30s__2,-0.9372138574000001,-0.2084459756
aat__01m_00s__2,-1.2432389473,0.033109078800000004
aat__02m_00s__2,-0.3495246403,0.1335711659
aat__05m_00s__2,0.1094073155,0.0397004025
aat__10m_00s__2,0.6838331844000001,0.1677494558
aat__00m_00s__3,0.06530010730000001,0.0320856698
aat__00m_30s__3,0.09335692300000001,0.1731833001
aat__01m_00s__3,-0.4013359563,-0.3186314997
aat__02m_00s__3,0.0676467685,-0.5621798007000001
aat__05m_00s__3,0.0950197988,0.2059478491
aat__10m_00s__3,0.1747426068,0.0736472202
abx_mega__dmso-2__1,-1.2785420221,-1.6324177518
abx_mega__ery_dmso__1,-10.5957398351,-2.4563421185
abx_mega__nal_naoh__1,1.1947628422,-0.45645442080000004
abx_mega__dmso-5__1,0.3606303095,0.0271996654
abx_mega__rif_dmso__1,-2.7182412105,-0.0901013845
abx_mega__novo_h2o__1,-10.9232734517,-4.4768543662999996
abx_mega__rach_dmso__1,-3.7573859238000002,-0.8986310266
abx_mega__metro_dmso__1,-4.0984136163,-0.7219844066000001
abx_mega__dmso-6__1,-2.2393842727,-1.0929953638
abx_mega__chl_h2o__1,-10.8393343528,-3.1230393497
abx_mega__cst_h2o__1,1.2966101647000001,-0.1447713974
abx_mega__tec_h2o__1,-7.47024733,-3.0082423606
abx_mega__str_h2o__1,-1.5346951495,-1.6874901802000002
abx_mega__ctx_h2o__1,1.8030846044,0.6191065429
abx_mega__nal_naoh__2,-6.1419821527,-3.5396757632
