,argE
Cr_1,0.004899688240644295
Cr_2,0.009279703443995231
Cr_3,0.01136395767308887
Cr_4,0.01261919412042682
Cr_5,0.017350126820559506
Cr_6,0.020093254563907342
Fe_1,0.012397513984293257
Fe_2,0.051529600924332085
Fe_3,0.10278959636494236
Fe_4,0.14377576257170002
Fe_5,0.1831995112544084
Fe_6,0.21129982318983084
Cd_1,-0.0006121048804718859
Cd_2,0.0073209229462428095
Cd_3,0.014562872484629397
Cd_4,0.02191896498812555
Cd_5,0.023550201903374198
Cd_6,0.030133326618603424
Zn_1,0.015493681055871619
Zn_2,0.03559262208401651
Zn_3,0.049660818476141934
Zn_4,0.06257693607511389
Zn_5,0.06714805514154629
Zn_6,0.07034989534930297
Cu_1,0.004459097169581437
Cu_2,0.017351203587261773
Cu_3,0.029016387501067005
Cu_4,0.036463986378897535
Cu_5,0.04611667328420501
Cu_6,0.053647046603534164
Pb_1,0.005541348910008177
Pb_2,0.013626335506391243
Pb_3,0.028083946670220437
Pb_4,0.03698835660856056
Pb_5,0.046821400603234
Pb_6,0.0471733344495911
